load_ts,vessel_name,vessel_imo,vessel_type,status,closest_ancestor_grade,origin_best,dest_best,kbbl,dest_ain_sukhna
2026-08-08 00:00:00,Seavoice,9877755,VLCC,In Transit,Arab,Yanbu,Eastern Asia,1032.9,False
2026-08-11 00:00:00,C.Glory,9419620,VLCC,In Transit,Arab,Muajjiz,,2107.998,False
2026-08-11 00:00:00,Daffodil,9239927,LR2,In Transit,Arab,Yanbu Crude,,678.003,False
2026-08-14 00:00:00,Plata West,9400681,VLCC,Scheduled,Arab,Yanbu,Ain Sukhna,2012.38,True
2026-08-14 15:00:00,Lila Marseille,9418614,LR3,Scheduled,Arab,Yanbu,,1059.222,False
2026-08-15 09:00:00,Shalamar,9336842,LR2,Scheduled,Arab,Yanbu,Karachi,705.999,False
2026-08-15 12:00:00,Mount Vision,1043035,VLCC,Scheduled,Arab,Yanbu,Ulsan,1989.448,False
2026-08-15 12:00:00,Roberta B,9563237,VLCC,Scheduled,Arab,Yanbu,,1989.102,False
2026-08-15 15:00:00,Plata Glory,9384590,VLCC,Scheduled,Arab,Yanbu,,2012.38,False
2026-08-16 06:00:00,Ghazal,9387009,VLCC,Scheduled,Arab,Yanbu,,2119.804,False
2026-08-18 18:00:00,Maran Leo,9602473,VLCC,Scheduled,Arab,Yanbu,Eastern Asia,2139.384,False
2026-08-20 00:00:00,Front Tana,9933640,VLCC,Scheduled,Arab,Yanbu,,1997.668,False
2026-08-20 00:00:00,Safeen Elizabeth,9524449,LR3,Scheduled,Arab,Yanbu,MED Sea,1057.027,False
2026-08-21 08:45:00,Quantum Harmony,9418054,VLCC,Scheduled,Arab,Yanbu,West Coast India,2142.862,False
2026-08-25 00:00:00,Front Neiden,9877779,VLCC,Scheduled,Arab,Yanbu,,1996.379,False
