date,ummSaid_0,ummSaid_1,ummSaid_10,ummSaid_11,ummSaid_19,ummSaid_2,ummSaid_20,ummSaid_21,ummSaid_22,ummSaid_23,ummSaid_24,ummSaid_25,ummSaid_26,ummSaid_27,ummSaid_28,ummSaid_29,ummSaid_3,ummSaid_30,ummSaid_31,ummSaid_32,ummSaid_33,ummSaid_34,ummSaid_35,ummSaid_36,ummSaid_37,ummSaid_38,ummSaid_4,ummSaid_5,ummSaid_6,ummSaid_7,ummSaid_8,ummSaid_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,0.1965551130324602,0.0,-106.31492094389958,-13.82470145476464,-7.8181964903771295,34.51041285522695,41.783697739313766,1.0931937796518905,-27.770058271541508,168.99925225540372,-46.73265182870813,133.64435973547745,151.66298188228322,-172.44694809897163,4.8447777117654045,-95.39425060698957,48.86242477134856,92.02499797605702,53.35229919115393,11.954144992372457,-108.11829957183002,-3.143806148179778,63.83220280810265,2.901632764519658,6.341484236319142,13.793267632608128,5.670085322956438,112.4980698818735,-162.98433706542622,-20.43276779092886,-101.73458678217638,93.77452937078041,1041.7403700202467,-866.7155250537935
2026-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,0.26754967408973607,148.65169143251237,67.96152189133522,-79.86283632713463,7.515187559899583,135.55599593212986,-3.9083641522137915,-1.5846832184836386,71.9378635574087,32.40648042031607,51.39812245715776,-124.91493772841818,20.40566085255504,-27.832999893857224,-1.768846418831643,137.5174462472583,-146.0154497119902,65.22833297654878,118.37010729273992,-2.487229787640972,127.84072447329682,3.5946598858581567,-0.34952752813999544,-2.445783964414324,-3.203980091795267,10.62910978570892,4.65939088581127,-17.334488674341817,42.5839183738937,-79.36779222015767,52.53719779772269,-75.12015991508801,1099.060961496243,-566.1970796325073
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
