date,basrah2_0,basrah2_1,basrah2_2,basrah2_3,basrah2_4,basrah2_5,northRumaila_0,northRumaila_1,northRumaila_2,northRumaila_3,northRumaila_4,northRumaila_5,northRumaila_6,northRumaila_7,northRumaila_8,northRumaila_9,tuba_0,tuba_1,tuba_10,tuba_2,tuba_3,tuba_4,tuba_5,tuba_6,tuba_7,tuba_8,tuba_9,zubayr2_0,zubayr2_1,zubayr2_10,zubayr2_11,zubayr2_12,zubayr2_13,zubayr2_14,zubayr2_15,zubayr2_2,zubayr2_3,zubayr2_4,zubayr2_5,zubayr2_6,zubayr2_7,zubayr2_8,zubayr2_9,zubayr_0,zubayr_1,zubayr_10,zubayr_11,zubayr_12,zubayr_13,zubayr_14,zubayr_15,zubayr_16,zubayr_17,zubayr_18,zubayr_19,zubayr_2,zubayr_3,zubayr_4,zubayr_5,zubayr_6,zubayr_7,zubayr_8,zubayr_9,total_build,total_draw
2026-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-29,55.83421644930561,-10.853963030830375,20.06358229512333,-97.9697830918853,-118.37653107354743,-5.15036271298783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.6825569783296,-5.472533270176646,24.26790829573467,-10.33939696589837,-8.705579893027084,71.71505491216763,0.8608250751667947,-13.523544667831564,5.369102601964609,23.31044120623832,33.19535260220556,-1.6176029121285538,219.01596581993007,-168.2690487630356,-5.630956482630281,-5.387320434550988,6.197807557634602,-128.81065851597955,41.014507908380565,-0.07123030525335344,205.95378337573837,-37.912379113070315,99.11825811428099,101.25445328952704,-1.9506698259131519,-60.22564625615848,-7.9265368009791715,3.337579003402265,15.916880191071861,-13.465459629672711,90.86707438408287,16.222890347453983,1.588653605411193,15.811730949588993,-9.732817220834272,5.521193047299443,53.446076816094646,79.03772157282091,-14.733797442487077,8.898454414816136,-55.85724930117443,-9.626532827641292,-4.243394373878401,94.19071067607406,6.16983014182093,0.44569941647374073,25.40993995224753,1324.0356940220563,-1067.5355518899019
2026-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-31,1.1110490743861883,9.416034097044786,-25.29423509791722,11.122481568733216,67.49138402547334,3.466767027245427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.015001526003849,-20.736289850840272,11.89946079412794,-45.47129286666002,-17.502958251981937,-7.631873491044666,-22.216707843039984,79.30469818454347,-6.695905315341821,14.11199085230424,-33.754401769629276,4.630192695387421,-21.03194507800504,-48.015513899550996,5.728353864405246,2.7320752798205943,-3.731458990128769,-7.525293181578935,-3.1830546616927897,-28.954809544597985,211.01448746347188,-296.7607413680136
2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-06,-3.2913473171461085,3.3906952761238207,-27.226509557071914,44.52227755502785,50.88514704807408,1.0263068919542275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6834768180904358,-4.017193028891401,1.3561278814220568,-70.9366531856806,-28.443043271174698,-17.724743843713675,23.732469347292252,-105.67230584073246,1.1639546638645697,-56.281357587432346,-34.191427213825314,7.084580159875943,-7.04615973923677,4.12609639022364,9.747009998270238,2.487017129202868,-81.80757441540898,0.7186941771192215,3.595164514619013,4.29480200742856,159.81381985858877,-436.6383150003142
