date,khafji_0,khafji_1,khafji_10,khafji_11,khafji_12,khafji_13,khafji_14,khafji_15,khafji_16,khafji_17,khafji_18,khafji_19,khafji_2,khafji_20,khafji_21,khafji_22,khafji_23,khafji_24,khafji_25,khafji_26,khafji_27,khafji_28,khafji_3,khafji_4,khafji_5,khafji_6,khafji_7,khafji_8,khafji_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,9.284189209586883,45.91974473930805,-9.246335729580606,2.1555333750101853,24.63037713947316,0.0,0.0,3.2167205377637584,0.0,-0.6383407624927641,-5.123988954176777,7.440665066216549,17.884081672637638,9.90374912335194,-62.48229289819993,-4.781501080697112,-0.6074949904493696,-11.71331244493599,22.475037800084742,41.480086717680564,8.334583941006015,-8.571376619061178,22.709576695658704,17.722521271217005,-13.304216236763867,-0.28003025229950435,0.7980578950055351,-8.481919264256547,11.89418577820537,245.84911096220614,-125.23080923291366
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,-12.454693623948552,-44.9896506632104,10.642623137875344,-0.7527370983371511,-24.95293764248534,0.0,0.0,-3.1171408624923496,0.0,-0.01624914355747751,37.586691516190186,-3.981387478386343,-16.9641499254783,-14.571928122595972,23.900672481451185,15.918844545265719,5.438018502683903,16.359831689320274,-19.15854012751748,-32.41047606239893,-8.643784211261693,8.228861516437785,-24.450704461190266,-15.914221006291656,33.74841677038485,-2.5864708616625287,-2.538407540375774,6.884059547416546,-11.64868527891091,158.70801970702578,-239.1521641101011
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,1.0262505801070656,-0.4970561556832108,-2.600293956778827,-0.8316068949160981,-6.035221989689686,0.0,0.0,0.6327088510915928,0.0,-0.17088604523061077,-35.848031082958215,-0.8232968113916577,-1.6973850090638152,-3.4023490145700053,-13.328387540148164,-14.22428839629417,-2.896960789340665,-6.276769088135217,-2.7683717268912007,-4.199486672508181,-0.9718746979436983,-2.3564522670741863,-1.1006513068149215,-4.725125872435921,8.233854338314908,1.9692955699106969,0.28405746039078805,2.639702296394622,0.7104796590455226,15.496348755255196,-104.75449531786848
2026-06-29,-0.19231770232101553,-3.4404952250102943,0.7949391398641165,-1.5852484543720493,0.10402201428895932,0.0,0.0,-2.2640155693502746,0.0,-0.5132861588386004,38.583030509715904,-6.806308637601207,-0.04830058173034922,-0.05292807292949874,32.65019576766604,5.130174906634871,-0.21791863394077518,3.27737396253238,-1.5035785903264478,-2.200199118401506,-1.490238685601129,-1.534775330769524,-2.77963543092279,-2.311011022418621,-5.525274051864777,-6.446500189977436,42.17995572811199,-4.134051256360807,-2.6575968372111674,122.71969202881426,-45.70367954994826
2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,-2.1728316266301553,4.777921848451457,1.2165774555219104,4.961616855448578,0.4721300311422965,0.0,0.0,2.9882139677115482,0.0,1.6480307456160954,-33.4749997956882,7.300972724614607,1.3071553915427359,2.35436667158475,-21.47042650629833,-4.260036909581919,3.4171095763625927,2.43062618511499,6.3113246207707565,15.327305527932127,1.5256939148743696,2.73601254392846,1.5433019941768145,3.885474208598753,0.9122547647243482,4.571670392237429,-25.516909559767548,3.6828084568915656,2.9411537626863575,76.31172163993253,-86.89520439796615
2026-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
