date,zirkuIsland_0,zirkuIsland_1,zirkuIsland_2,zirkuIsland_3,zirkuIsland_4,zirkuIsland_5,zirkuIsland_6,zirkuIsland_7,zirkuIsland_8,zirkuIsland_9,total_build,total_draw
2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,-18.846329218525323,-216.69556205700653,-183.11729079771357,-20.052255196857267,876.8801777140067,469.056638601779,95.7956632056752,0.0,537.8075070302091,416.69222877271557,2396.2322153243854,-438.7114372701027
2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04,441.5429199834551,-14.392884592354065,-54.66077148849296,12.958693157132366,-883.1780878517238,-564.6289100577675,829.8328582556668,-910.4338509549128,-262.8718150716056,0.0,1284.3344713962542,-2690.166320016857
2026-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,-411.0843321943407,5.758209097967483,885.0131669138185,-15.75473538282665,538.8146695706646,1030.5425669069803,-860.7022566276519,376.6679649042867,595.6457223700512,-567.9633400656949,3432.4422997637685,-1855.504664270514
2026-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,212.19600919403626,698.524106367506,-687.4324777229593,17.940193214801024,113.1364893605276,-986.6480596224181,114.44543688297924,533.7658860506261,0.0,-299.6518617347206,1690.0081210704761,-1973.732399080098
2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,-545.6163516720624,-92.23003784352355,247.57045049158427,-15.11369893501769,231.22692892053166,-26.135155500486377,746.2568197446726,0.0,-795.3079955775091,867.6152018004155,2092.669400957204,-1474.403239528599
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
