date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-23,2026-06-18,-139.07866967145415,646.8436955087482,0.0,139.07866967145415
2026-06-30,2026-06-23,-848.1580379061473,543.8528873431387,200.0,648.1580379061473
2026-07-06,2026-06-30,-269.9241651854283,712.1777472847537,0.0,269.9241651854283
2026-07-12,2026-07-06,-668.9244278458987,320.32132218381435,1038.6,-369.67557215410125
2026-07-18,2026-07-12,-598.1327095705539,342.4651595732695,1024.01,-425.87729042944613
2026-07-24,2026-07-18,-246.56890243371924,703.2695764895427,0.0,246.56890243371924
2026-07-30,2026-07-24,-957.2080583986939,417.9341429771532,697.19,260.0180583986938
2026-08-05,2026-07-30,-265.11918046376576,1132.3336195844863,0.0,265.11918046376576
2026-08-11,2026-08-05,-821.7526316892519,589.9470831943867,1067.65,-245.89736831074822
