date,jebelDhanna_0,jebelDhanna_1,jebelDhanna_10,jebelDhanna_11,jebelDhanna_12,jebelDhanna_13,jebelDhanna_14,jebelDhanna_15,jebelDhanna_2,jebelDhanna_3,jebelDhanna_4,jebelDhanna_5,jebelDhanna_6,jebelDhanna_7,jebelDhanna_8,jebelDhanna_9,total_build,total_draw
2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,-11.274863623942656,-244.45597357042658,19.434081499227382,22.912553280168506,28.947929100363226,95.00021692862083,112.23436276649404,53.78908749409812,-288.27093167763365,-15.178094945424062,10.923574270551267,5.0186926873633055,-100.38517539107438,-11.205567255435396,-7.115862396528566,13.629240695152461,361.8897387220391,-677.8864688604654
2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04,90.50817044224625,4.182301620563842,7.805048717849946,-2.2876117879168305,-31.080856429229723,-90.80588894228777,-107.87036063762196,-59.79051931180828,80.02146818416526,73.02376678065438,87.9394532393723,64.15787986307323,107.73347794137378,15.388933450202254,26.846984427536153,26.188785037778175,583.7962697048156,-291.8352371088646
2026-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,-182.95830990152544,-91.00995714456623,-32.56464260833504,-32.99309529802552,27.43608159948373,89.49261079574097,105.89191815876937,60.73261695179204,-174.17968716367025,-163.88423803361675,-187.53033701765276,-127.04977836945676,-107.92460878928408,-15.250151640163327,-62.53383407489206,-58.54148314325389,283.55322750578614,-1236.4201231844418
2026-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,90.30469859846606,-22.587639860370604,0.8009158045935619,2.002577968437341,-26.273499404902513,-92.97491578308622,-112.32425467279286,-98.27625526135252,75.31085437273072,76.06681810890855,103.51619220217142,48.553526168526325,108.87754331972579,14.14380186853974,33.9124181040565,15.718001845423016,569.2073483615791,-352.4365649825047
2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,80.87635564131709,353.8712689547996,84.09882306690963,57.303398366733425,27.143714550563253,96.24817255946866,114.10835642859736,100.32485620199343,118.39642287453596,38.6447794441969,-6.071130832809199,17.955478692516337,-107.195689094137,-11.983553132700589,43.3145923161975,59.93487526875743,1192.2210943665868,-125.25037305964679
