date,rasTanura_10,rasTanura_11,rasTanura_12,rasTanura_13,rasTanura_14,rasTanura_15,rasTanura_16,rasTanura_17,rasTanura_18,rasTanura_19,rasTanura_20,rasTanura_21,rasTanura_22,rasTanura_23,rasTanura_24,rasTanura_25,rasTanura_26,rasTanura_27,rasTanura_28,rasTanura_29,rasTanura_30,rasTanura_31,rasTanura_32,rasTanura_33,rasTanura_34,rasTanura_35,rasTanura_36,rasTanura_37,rasTanura_38,rasTanura_39,rasTanura_40,rasTanura_41,rasTanura_42,rasTanura_43,rasTanura_44,rasTanura_45,rasTanura_46,rasTanura_47,rasTanura_49,rasTanura_50,rasTanura_51,rasTanura_52,rasTanura_53,rasTanura_54,rasTanura_55,rasTanura_56,rasTanura_57,rasTanura_58,rasTanura_59,rasTanura_6,rasTanura_60,rasTanura_61,rasTanura_62,rasTanura_63,rasTanura_64,rasTanura_66,rasTanura_67,rasTanura_7,rasTanura_8,rasTanura_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,-5.347809077785467,0.0,0.0,-7.114220994290605,-1.52266494696046,-38.458425219074186,-3.218769249920559,-9.43870976593066,-5.120145737843472,-6.193134580855957,148.16756664558605,0.0,0.014509537272097077,-3.0984729454437914,-5.573391488261958,-0.42796352108832797,-81.63395371904996,-5.889162219030579,0.0,13.475556107407028,85.16305116887652,-58.56419336450222,36.21322596230746,-1.9087416015431664,31.929427445666864,11.482106428723695,-100.00452030865368,-6.02602493859132,102.79760512598796,-0.09348879038704036,-3.9753194915512142,3.7288616257873364,80.4575730141454,112.80373639877759,-18.891334921206973,-49.40324952050373,-1.9958242764078895,1.4875210789762787,65.92420624972598,-2.4313574956131925,23.118809110878413,-34.83398705563552,-93.27269567411479,50.86022506048111,103.19165367531349,-119.30596840157175,-11.290305935490178,-62.90748120099778,-4.221245188765606,0.0,-91.60064702701386,-1.2320993028028462,86.68574253094424,53.2621851859115,-4.627348924570484,-83.85307738580109,108.01928414118215,-75.08430379671266,-272.2303188292511,50.72335264244356,1169.5061991363948,-1270.790356897224
2026-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,-0.6988207943943562,0.0,0.0,7.870080531009997,0.2728082070537203,3.258472572613042,-1.0973231159353745,5.285659103729296,25.920756509829662,-0.13231160514522344,6.5245265830808785,0.0,-31.74398993224307,-2.4271261773117296,4.997886591127463,-3.538546709677408,11.387281385833893,-6.487701803254459,0.0,-8.154014347624296,0.0,8.360064875668991,3.3484557638788246,0.966718394369862,0.0,5.279704511050659,1.005229534668353,3.087371039571561,4.441202152440645,9.301080499956399,78.5856675648351,-3.554325290833891,-6.35170040974117,4.75797840888091,-57.1192815661904,-53.038664886757154,0.8818424240741879,2.220735774389061,57.85025019487095,-64.56772012944317,66.27229710653248,33.87158437712472,93.27269567411479,-5.679644572008401,-37.59447248093065,120.27197514525253,22.48446698345762,-1.097886787715732,83.51629465712809,0.0,91.60064702701386,1.6270488976934139,-1.866143918191141,0.20729679449826655,184.89623714555202,73.44381923957162,-71.48649272694628,4.692803139442753,17.86556196090681,-30.09234711143188,1039.6265007712225,-386.72851436577577
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,-347.26598818318223,0.0,-4.673759717714507,-12.342146825116302,-1.544248988529056,-3.3384847832368107,0.29690199653443416,-9.21863647141261,210.44725428362028,281.95026685046105,0.048520510775386355,0.0,8.429220501949079,1.0258171909889207,-217.10843003675387,-184.4935219671977,-37.83112145276877,-204.0215175784313,-9.890182032905868,3.716951411105285,-131.88665881486398,3.711011349765715,-99.59962099852325,-77.3843460928572,0.0,-5.282063697814825,3.101508186415973,-2.757261617812212,-108.09013842064198,-120.08903679382574,45.418904652250426,1.4992123798439863,-30.79946440899765,-78.51125249891325,125.16019954738726,96.01226701517852,-1.6311511178335931,112.46458588545357,-122.09561565206896,70.26885832107973,8.451398529783765,71.37061613265047,-116.07518895674305,-111.27529863995854,37.59447248093065,-115.19116155792221,-18.454043336897943,-2.3081981737190365,-2.4733983227374994,0.0,0.0,-1.9601737237753987,-77.97831812747121,32.084528414433535,-249.55941027703636,-51.375679176394264,-2.677183945125755,81.30672221944552,39.89497780898438,-4.476291782110638,1234.2541956690377,-2563.6589941712937
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
