date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-01-18,2026-01-06,-1145.054038840205,2958.077399250533,0.0,1145.054038840205
2026-01-30,2026-01-18,-3176.446656798513,1917.672427153129,0.0,3176.446656798513
2026-02-11,2026-01-30,-2162.9714348254483,2912.368089914849,0.0,2162.9714348254483
2026-02-23,2026-02-11,-3306.2737234145975,2274.20310400178,0.0,3306.2737234145975
2026-03-07,2026-02-23,-3297.0353023138705,3691.2883254171984,4130.55,-833.5146976861297
2026-03-19,2026-03-07,-3289.601032478176,3010.0462181439893,13130.93,-9841.328967521824
2026-03-31,2026-03-19,-2544.989833915362,2353.6247035720044,23606.260000000002,-21061.27016608464
2026-04-12,2026-03-31,-3445.0033579417723,1928.9594988012154,25084.96,-21639.956642058227
2026-04-24,2026-04-12,-2352.964308664724,3211.3546782756202,24577.97,-22225.00569133528
2026-04-25,2026-04-24,-2268.912949195435,1885.2227972338492,2121.77,147.142949195435
2026-05-06,2026-04-25,-2026.2673201058556,2444.9217700908835,22039.24,-20012.972679894145
2026-05-07,2026-05-06,-2060.243218290173,2347.889554374154,0.0,2060.243218290173
2026-05-18,2026-05-07,-3189.436249059813,2935.193784998923,19101.78,-15912.343750940187
2026-05-19,2026-05-18,-1717.6637864349113,2335.3360004294086,0.0,1717.6637864349113
2026-05-30,2026-05-19,-3089.739491482438,2922.656793523155,16350.14,-13260.400508517561
2026-06-12,2026-05-30,-3020.688788553811,2857.6236313928534,24230.82,-21210.13121144619
2026-06-24,2026-06-12,-2599.8667903567725,2758.3681524961758,18880.04,-16280.173209643228
2026-06-30,2026-06-24,-2496.4550319773703,2281.362918923187,13189.940000000002,-10693.484968022633
2026-07-12,2026-06-30,-2350.7149780059995,4910.748473551577,21096.55,-18745.835021994
2026-07-24,2026-07-12,-4332.195960954925,4057.141981348089,24013.3,-19681.104039045073
2026-08-05,2026-07-24,-3285.9771365450456,4814.214434116574,13576.8,-10290.822863454954
