date,ahmadi1_0,ahmadi1_1,ahmadi1_10,ahmadi1_11,ahmadi1_12,ahmadi1_13,ahmadi1_14,ahmadi1_15,ahmadi1_16,ahmadi1_17,ahmadi1_18,ahmadi1_19,ahmadi1_2,ahmadi1_20,ahmadi1_21,ahmadi1_22,ahmadi1_23,ahmadi1_24,ahmadi1_25,ahmadi1_26,ahmadi1_27,ahmadi1_28,ahmadi1_29,ahmadi1_3,ahmadi1_30,ahmadi1_31,ahmadi1_32,ahmadi1_33,ahmadi1_34,ahmadi1_35,ahmadi1_36,ahmadi1_37,ahmadi1_38,ahmadi1_4,ahmadi1_5,ahmadi1_6,ahmadi1_7,ahmadi1_8,ahmadi1_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,0.0,10.960093713135459,153.47778960334892,-24.252749838041957,-7.235951086526242,0.7847758724687738,-3.774070983378275,0.3518911188759958,7.835490273654665,2.836395520271268,-7.7468947033595175,1.4483580411309085,-1.3740402824020712,-9.674898397554847,7.926707079641405,404.0579134127544,-0.8184576216248679,-25.811208556480533,311.63313488349587,351.723886943578,98.24654004335467,25.016548813696367,-360.8508713284297,4.3918079391748766,-17.67016126465076,419.3654388356628,-123.14902030855778,-84.6953478881669,-84.2626370337141,-7.849962421343313,134.37774420775736,-19.801864978631958,507.3387056823387,-17.97532713294553,-299.30265759552594,-14.174073426156625,-9.912346154026542,-1.7743133569484635,-25.64399923929898,2441.77322198434,-1147.7508535977652
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,0.0,-2.2241491001056857,-157.5836446529466,23.08417065842345,7.169752334566059,-4.315365052053123,2.906856423620222,-0.9838551908718364,-4.585897364795528,-7.558790258637048,10.763727778590168,-3.989298896477325,-3.944333042560611,9.382999886517734,-9.744013046154869,-403.0635305200503,226.28742017570644,23.465582769615402,-416.48253954569884,-590.7271031664961,268.9694285189307,-26.578889535573197,-0.7205113996459986,-8.877878981230664,17.414877035147278,-648.0701324210614,-0.6004074178599985,-527.5214702456273,-7.027758602389018,637.5466108766177,-365.0049944817794,26.234564687697915,119.10161696326348,25.602120289155458,373.38706584217647,12.505613039319694,7.8886959776417935,-2.186488836300763,24.835945630866888,1816.547048887857,-3191.7910517583155
2026-06-24,0.0,7.523990179911489,8.222182855607098,-25.586429228323947,-7.876605462560488,4.146156860636344,-2.7010385557268455,208.27379708741984,-7.8465760969571425,7.38882756478517,-9.44430305302865,8.050720819177718,10.483976388436336,-9.213032435479137,14.148537710493954,-1.691192276843416,212.06634460470548,-30.168947291305987,-21.975552290948922,75.78162010194292,180.0266949856691,25.622580437564057,-174.51773676820972,12.512777991893469,-18.548850839399964,6.0439827838503986,-1.182092424433562,-8.282732763553154,11.154988851862727,1.1095369199936977,2.0001711144101573,-31.60290958346927,-128.08475940956,-19.81671436667035,-231.69333481002843,-12.744270308451407,-7.361408104759292,9.246737640054228,-27.401474692626742,803.8036248984142,-777.7399607623364
2026-06-25,0.0,-7.0691668245184704,147.96476426429695,1.5464752591000288,-0.9824232847937965,-0.36803705221184646,-1.4359482067723002,0.0,12.05037185764886,-1.4060052598797774,-3.664928807046381,-3.9301389262223383,-7.971766397124913,-1.1722907169761603,-4.012523293219157,-4.167647646135301,8.810468306606287,2.3268130334976593,-0.41093775103910596,504.88375493583203,2.442238341673743,-0.004035130435950123,-8.308250108699664,-4.516696860015625,-4.711460971369874,1.8952849225144601,-0.4194791330196895,-1.8127290479608347,91.99179802813154,3.200155461648479,498.60369314135824,0.20916694926971105,4.4965598642276605,-3.791817721746222,-4.594337833133293,-2.8953431353569905,-1.136446275094,-4.860289007149986,0.2270722328121774,1280.6486165986178,-73.6426993899217
2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,0.0,-7.235834666379494,-156.46092977453182,23.01747397244026,8.8424508651543,-1.2238599761223303,2.0201589100257844,-209.2216180624267,-7.4422264615684695,-4.2078294476971205,8.700920411259808,-7.169113513920107,-9.051864206135738,10.490174375315634,-11.347783390163618,5.257391140014049,-403.2739833703683,15.290640298740763,390.98865171439587,-106.8382834909712,-557.6374103708895,-29.294829133500578,14.98136240215681,-9.843832558705413,17.51233823998703,-16.374683971874184,33.609501167010166,579.990345585633,248.6177669765739,-631.5562146634109,-477.92751158342116,20.39547055176378,78.13247439514205,24.272324524658327,-176.90424882624333,14.201431563523627,8.521120091990015,-3.1886560016986625,25.01331060795876,1529.855307793744,-2826.2007134700284
2026-06-29,0.0,-0.7420567839422729,1.767541722369293,0.22769879030363518,-1.3815855557917385,-1.2688589673253883,1.749970767390507,-0.23237910995664424,-5.67055359883784,-3.0052820924961123,-4.9146517999953945,1.4302306720311462,8.56695812978194,-1.1220990134738387,0.2857767177920323,-2.603912117627042,-0.3163213775924523,-7.245688015795429,1.1803174614176388,108.29888680846733,469.1600443586159,8.021239928778959,-2.009678129633656,1.5927717009586049,3.6861628295260016,1.0323925812070958,0.21425781258021015,3.955728996290127,-108.71193624329264,154.18013486986806,431.1170179599886,6.169606149240397,21.146338288639324,-11.68486554665555,18.421802475755687,0.8563650928478456,-1.232195724249934,-0.06806279449065915,-0.3735701266250981,1243.0612441138503,-152.58369699778171
2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,0.0,9.058326566666539,180.15246469926237,-22.745373740995625,-6.601482666214899,5.944182890532043,-3.208870147889451,3.9034242729592954,13.528724388132018,6.996046703109169,-2.178447272359568,6.608997314221837,4.709439556337311,-9.028536914220167,7.324497672070487,2.2565056239351398,296.3716713814662,-10.72743127878569,-382.31943367458655,-372.87376619790496,-14.549745758150006,21.55933356872527,-15.523293572315364,8.872814670290856,-20.971575980820692,14.156721760002664,466.92289380204807,-399.4507437698579,-261.5776131451478,481.6939435053029,27.368807638792788,-26.472852093814524,-460.02879980699674,-8.231781717214966,46.40197697140259,-16.443864298350267,-5.86652824510631,2.7262387708647005,-25.033998278797604,1606.5570117561222,-2063.834138559529
2026-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,0.0,-1.6591053376782803,-178.98638227117235,23.009806569034176,7.923980376321066,-5.451668343575991,3.4942944837142713,-2.7075793816128573,-7.364949318287604,-2.2310160359810105,10.620839562438952,-6.496966013633093,-3.1928417438560284,11.99959731422327,-6.196891971869074,5.808703665120119,-339.02036734352646,18.029099123851104,429.01949408645993,305.27638039568217,104.6937709223344,-23.72679482158972,20.605246104186982,-9.231461221832783,25.80236091610673,-6.3874995446684775,-516.5779326811182,-173.51511160305807,-9.395310294715221,-303.81118940368026,-166.65102565935743,33.52276356627419,-135.5824182090715,17.531752735606627,362.3854161200484,18.552513569272413,6.346934089289978,-1.6855824729421875,27.096290589579876,1431.7192441895447,-1899.8720936732263
2026-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-07,0.0,6.284383060274005,148.2899442890067,-22.706405454706548,-6.263432288571669,3.2467130502251678,-2.348693905667402,208.2581522810369,7.995932667180226,3.1750552021148906,-8.435262069023214,5.838789197311678,7.19722247954848,-11.127545295226678,9.795814485433162,-5.538893877215684,-2.227795470537327,-22.72752238041995,0.0,-416.31398909619713,-629.8401895333018,23.591904307069722,-21.77964657045377,10.454798417996383,-18.432118951383163,6.6798044668717775,9.795494068597094,-10.170380982299102,622.2538192552075,-224.0593737339843,-289.002359795689,-25.42382010396186,546.697769712517,-15.722260537927971,-376.3544787515919,-17.01521115810226,-5.626567534670583,4.853482457198261,-24.666497143638264,1624.409079397589,-2155.7824446345694
2026-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-11,0.0,-10.91995263967925,-150.5496885826991,21.379613133156642,2.911488955247478,-6.852049747755839,2.195441210641933,-208.85167909141504,-14.810936246520578,-7.327470683598047,5.688184746743704,-3.6136630529758698,5.993454678679351,7.710262180208578,-10.903484156634281,449.17925069405675,448.46679618055833,84.67816765393957,-451.49690720757906,518.9533922265953,458.420321002607,-25.04028789565561,15.407713919237374,-12.23624138904718,-1.1361628559335368,-2.361405688055442,-12.421314470650278,621.5024417186002,-633.2230179025231,342.6197759782648,71.94749625568814,23.304005644995136,-304.81172447784706,22.042032797229187,407.0772100130004,13.153735460250843,5.705169059584412,-7.359635008990619,24.469087459279546,3552.8050409685648,-1863.91562109756
2026-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13,0.0,13.914654415667174,181.24612656486474,-21.41238322768244,-3.8900657549095925,7.6784924061624915,-1.0609154877846887,1.3633792264505755,14.82919171511245,7.606673792190966,8.190029469157919,5.192180470905645,432.6048452411697,-6.937161223642848,11.168442380897993,-355.9270159856672,0.0,-78.02036465507949,-2.886453011618112,-628.3317396047845,-163.9942654479659,22.62350291939627,58.706855480138096,10.301645092474121,-16.716343589784927,4.719686227450264,16.786397692686297,-138.5237349134857,15.683509690225707,-488.8462775216567,-103.08372238132625,-22.152478320281254,341.3470870266021,-20.571515645420586,-446.2601004238307,-15.39479287470816,-6.259914861655474,6.54597034915394,-28.107929149398,1160.5086701607065,-2548.3771740806824
2026-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
