date,khargIsland_0,khargIsland_1,khargIsland_10,khargIsland_11,khargIsland_12,khargIsland_13,khargIsland_14,khargIsland_15,khargIsland_16,khargIsland_17,khargIsland_18,khargIsland_19,khargIsland_2,khargIsland_20,khargIsland_21,khargIsland_22,khargIsland_23,khargIsland_24,khargIsland_25,khargIsland_26,khargIsland_27,khargIsland_28,khargIsland_29,khargIsland_3,khargIsland_30,khargIsland_31,khargIsland_32,khargIsland_33,khargIsland_34,khargIsland_35,khargIsland_36,khargIsland_37,khargIsland_38,khargIsland_39,khargIsland_4,khargIsland_40,khargIsland_41,khargIsland_42,khargIsland_43,khargIsland_44,khargIsland_45,khargIsland_46,khargIsland_47,khargIsland_48,khargIsland_49,khargIsland_5,khargIsland_50,khargIsland_51,khargIsland_52,khargIsland_6,khargIsland_7,khargIsland_8,khargIsland_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,22.197401931565604,-15.069599269711762,0.0,47.134310524975064,0.0,-169.5486275146248,0.0,-24.951750677003524,0.0,0.0,76.82674243265348,-0.32141028285882206,0.0,0.0,-82.02644470219943,-21.229245155214798,1.657524407875084,0.0,-30.743345315767627,-10.015395731978439,10.95325915408763,0.0,-19.069318222922973,-106.32570375616616,-10.737245650250815,0.0,0.0,0.0,-11.512559023263428,0.0,0.0,-20.400189494509018,0.0,0.0,0.0,-9.43771254542131,0.0,-65.25838030390453,0.0,158.58595174344455,11.624006513677887,108.84224744819907,413.18889806819794,69.00292316412086,0.0,34.694232612865626,-6.302024086021848,-48.65542478187126,-7.410820835364284,-171.1771026451299,-34.93531608714128,0.0,0.0,954.7074980016629,-865.1276160813261
2026-06-19,-7.397847080296022,15.664314860661165,0.0,101.64037475620769,0.0,82.23875851358596,0.0,44.50218791765976,0.0,0.0,10.335495951475925,0.32141028285882206,0.0,0.0,35.60894684967684,-3.209227881033323,0.0,0.0,-7.464834316462395,-14.296006937861153,-18.219092915249988,0.0,7.5229808683083395,86.8007338534008,10.737245650250815,0.0,0.0,0.0,11.512559023263428,0.0,0.0,20.400189494509018,0.0,0.0,0.0,9.43771254542131,0.0,177.69922249733088,0.0,0.0,-17.214987468449515,67.78670168354921,-413.18889806819794,-20.002740804874804,0.0,-78.39865362583578,2.9004190722513012,23.758499157318845,6.88811140235189,15.102839276015176,35.72444475046988,0.0,0.0,766.583148406567,-579.3922890982609
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,32.80123738887161,-30.572570916838362,-470.3967472135649,-116.78200873798819,-334.9734077166894,-360.18861638735365,-303.18989229362796,-154.49223327417346,0.0,0.0,0.9830409631672665,-8.985033033886051,0.0,-15.714273428397487,-272.68930402182394,-169.57588662882645,0.0,-281.9848367458235,-191.59995384050853,-44.476170480204864,-271.06488810503487,-316.38074857854986,-14.264259781868546,-85.91958177112147,-77.3665067098674,-66.30814470074769,-68.76352177034869,-76.1373317028734,-74.79929307949124,0.0,-60.33536884177255,-75.49293370755946,-24.36570406025593,-38.366510370205276,-681.4592012058424,-22.468896610627677,-6.444617059940356,-348.9635538934044,-285.61662477555416,-646.1158873839167,-19.142788146769394,77.85153997911374,413.18889806819794,67.93773511254753,0.0,-88.66440433209168,-5.466716857495165,43.645043158140616,2.6839471836296145,-143.4106732647546,-46.224730101339986,-498.13465481157795,-437.01889359374155,639.0914418536684,-7234.31736993646
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,454.6126549418691,27.167490632107484,42.794347847902564,-13.295543770227349,68.78280650510546,84.46546881361981,-20.59485585881409,101.6488282602909,0.0,-526.324984778228,-166.65511469717137,8.985033033886051,0.0,-39.06626028596773,154.3155408737723,107.75738372752146,-276.26506955383485,18.08162381540885,27.14383883920632,41.47687141478845,-8.046502101234742,31.83466331922944,19.08433144844044,39.4611208705171,34.12595952398132,7.475258321389294,41.38032877687723,24.34677425609293,36.55231129462516,-55.770989474285976,5.841429605707614,26.99688673411688,24.36570406025593,38.366510370205276,96.42010208762228,12.378467217550366,6.444617059940356,160.82609631267783,96.64715666601388,-71.84940700520296,30.324876679963666,0.0,-413.18889806819794,6.388270282272657,0.0,14.02974261644925,9.211911090810288,73.63359926583205,-9.987356804563227,-51.15515894771199,47.680125277566724,-6.009669642798253,-4.291167119327234,2021.0481318436173,-1662.500978107565
2026-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,37.944144137994385,-15.251491455678712,-259.6768116497687,-361.49262847200816,-266.60630419736555,-101.7171443910331,-98.83979166588507,64.37236623102986,0.0,-108.69655733873498,-11.420106359824421,-302.1439319673329,0.0,-105.06951285769918,-161.16884121704726,-32.60091803013493,-96.58051889940054,-64.81861143072531,-83.90319001979312,-94.49287415477922,104.22318746589374,57.04995944471535,-17.628206895509503,-41.848577803573804,-121.75396313760989,-94.69103708068268,-136.0292205982554,-106.01645278670787,-117.29743727701894,-57.7690110683276,-95.92949930682877,-117.40413784582393,-37.55634595679969,-42.53580324823136,465.92410800726594,10.090429393077313,-11.24519024570231,-593.6143453284972,188.9694681095403,404.4287256046505,9.305502546567237,-246.93545546012524,413.18889806819794,0.0,0.0,-7.171831541689928,-6.507003024050181,-91.05214186563873,17.606894920999476,33.3250612787584,-38.79764263315627,-220.3625674424293,-214.32228481369017,1806.42874520869,-4580.94738946756
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,0.0,11.173799314622535,4.7012194012288235,-38.852271963816605,294.8127273681505,85.59747476163216,406.84385744129514,272.36157312927094,0.0,-96.31345902076806,12.623992445986543,-20.0921846513428,0.0,-179.50132128718514,29.099344607938548,-111.11656541472271,72.14684230121097,-16.88110727360088,26.41833883368678,-3.70458417752065,114.14415139831446,190.8072673282359,15.342099317125045,97.52323698439787,32.91770058349197,5.856278698184993,5.400747884571232,19.355907075452038,8.718103141371655,-42.15808867942049,4.184785684303759,27.576688579031266,37.55634595679969,42.53580324823136,-1.9521902215136215,-14.614192022316972,11.24519024570231,-0.72249082615925,0.0,5.166806813752163,-19.037579181684762,26.82084951715311,-413.18889806819794,-7.4414337491763,0.0,15.396181271153386,2.7948157541791736,5.854203247599769,-18.374397371195855,-36.56335454867559,33.530916263478225,-3.9594911779547113,6.0933539038592714,1924.6006025014115,-1024.4736096352524
2026-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06,-579.4662519166442,-9.485907252178063,-5.3641807784610425,50.50288851931342,-274.5640474887428,-69.14683706958161,-68.04493858978222,0.0,-632.8422523518676,79.97821299534256,-5.997544180191064,42.765021642209206,0.0,-11.889420222306041,125.55476872967236,147.17575999448587,-78.11285397970892,21.11017806397722,-27.386156198312996,4.7523106934767565,-120.22637142550195,-207.02216392813915,-12.161598869265815,-72.68814654878213,41.52617825363674,51.596587135168335,54.85016857103503,31.149643657843335,47.64794365395204,60.06537159118884,71.38402983052383,28.54203223357894,-49.13689510522279,-64.34405973628482,-533.0072087759625,-29.721581898048623,-44.0049532216411,-17.83002632891992,-576.6749167883994,236.01017685949068,6.149976243055426,-180.67525223690282,413.18889806819794,7.4414337491763,0.0,-4.045991800011252,-3.5640789910721944,154.9405580257717,20.444052589802887,64.98243268884276,-30.24670529046969,21.020995045930498,-0.177908751431969,1782.7796188356722,-3707.828249723832
2026-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,-73.70183999382041,14.69799400735111,22.951034189729487,-48.30083304322267,34.80863457158336,83.77765066538088,-197.88451840593237,-531.0765989753475,108.15542119145603,-34.65698739323172,9.431782520245877,-27.18943324357126,0.0,21.661885778684518,-131.0287935079841,-154.86515405824943,89.47448869264493,-18.664577208905307,30.11124563502788,53.55507538805029,-181.24474283338293,-138.42539425976696,17.214224426079426,85.42610054560122,-47.70250831838123,-54.52827483045742,-53.53446152556857,-37.289403365830935,-47.25874051612351,-61.99026036015835,-79.2835080335421,-37.65659811304591,-5.977612355977181,12.46491071943137,30.465771014057335,-6.286719869970388,-6.313863628192645,-22.463374171309408,141.90283888222643,-621.7413730855955,23.39993130676821,-147.7898174421238,-413.18889806819794,-4.411716455487244,0.0,-8.823597825717064,10.658540689267044,7.103025746062864,-16.85866989531368,-369.7292058402789,30.246241301149013,-21.152931567585096,9.417937218863052,836.9247344896601,-3601.0204081922716
2026-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
