date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-28,2026-06-21,-315.6996356028803,234.3442991048978,0.0,315.6996356028803
2026-07-04,2026-06-28,-245.33087576915125,187.91505841152076,0.0,245.33087576915125
2026-07-10,2026-07-04,-296.65937431139287,323.0488535962542,0.0,296.65937431139287
2026-07-16,2026-07-10,-427.63900013038904,242.01812556653664,0.0,427.63900013038904
2026-07-22,2026-07-16,-14.790618048193718,662.6768635101821,0.0,14.790618048193718
2026-07-28,2026-07-22,-383.4092334358936,267.86350154204484,0.0,383.4092334358936
2026-08-03,2026-07-28,-846.8070022301813,345.29084787757785,718.09,128.71700223018127
2026-08-09,2026-08-03,-286.8323883461435,252.06252234679607,0.0,286.8323883461435
