date,juAymah2_0,juAymah2_1,juAymah2_2,juAymah2_3,juAymah2_4,juAymah2_5,juAymah_0,juAymah_1,juAymah_10,juAymah_11,juAymah_12,juAymah_13,juAymah_14,juAymah_15,juAymah_16,juAymah_17,juAymah_18,juAymah_2,juAymah_3,juAymah_4,juAymah_5,juAymah_6,juAymah_7,juAymah_8,juAymah_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,71.32593015542871,39.68319568695268,-37.14347701746947,13.260560797916842,9.17561811305466,43.40491268842132,-4.863219597546151,-119.82232155824127,-52.05583317935304,-35.38794748635555,-7.009709049949772,53.618151112043186,326.7275669909546,-28.050826393267258,-330.176944345527,38.92797927567025,-39.220042708407156,-8.246272023307858,-362.4697906323773,1062.8991958434992,-672.7835593090256,-875.9960189454999,-244.47976524192654,-280.89317201927827,-25.4002639208209,1659.0231106639417,-3123.999163428353
2026-06-19,-6.920675796759431,-29.49654651709413,29.036094229636483,-18.967094152665815,-20.185954583773857,0.7527273188550025,2.8015700578237883,23.461482823129046,53.12100859437545,40.802472150098765,15.096888964071288,-43.31916838849732,0.0,22.839232053502812,50.26125103917008,-37.42822931615298,48.45491835454374,12.3551290261331,40.717846200022734,-350.0039218425397,73.91356535128108,839.5431339437141,71.57650781046273,65.77728721278056,44.476505384190006,1434.9876205137907,-506.32159059748324
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,145.07629613632594,18.939474769627907,-38.092492655779935,25.09838205918949,18.04126252790587,-3.8301284517700553,-3.806124406350078,-27.00853672635788,-27.148612366125803,-52.29655877559108,-16.767519116788637,35.22953855406179,0.0,-24.71605681842845,161.0678340489515,54.90300666650245,-45.29939553029649,-13.481554637681926,-121.56211747393908,-816.9661616687858,158.42281332115235,-122.68310469801398,-443.77848879339,772.8268979969989,-6.740174756852328,1389.6055060807162,-1764.1770268761516
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,45.47113795157836,-25.851211946502794,51.41629283857741,-25.316246645594948,-10.556490602299338,4.902217134641483,-1.0398329356515315,265.85103051477006,53.081593834228585,42.154425495628615,11.259912539398066,-47.64503596969182,-721.3704757135774,22.25045870444004,-350.7873324867946,761.6561877521825,59.35093489019119,6.899941894458141,176.83589718202117,1259.9270908832357,539.8613517098539,-213.47378420564917,-199.05067547521682,-746.8445670508892,231.03301869849955,3531.9514920237048,-2341.9356530318673
