date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-23,2026-06-19,-239.1521641101011,158.70801970702578,0.0,239.1521641101011
2026-06-28,2026-06-23,-104.75449531786848,15.496348755255196,0.0,104.75449531786848
2026-06-29,2026-06-28,-45.70367954994826,122.71969202881426,0.0,45.70367954994826
2026-07-05,2026-06-29,-86.89520439796615,76.31172163993253,0.0,86.89520439796615
2026-07-11,2026-07-05,-68.04855407745444,40.650679747658494,0.0,68.04855407745444
2026-07-14,2026-07-11,-124.95816747160862,352.69347916239144,0.0,124.95816747160862
2026-07-17,2026-07-14,-336.58450895013095,151.82985337661108,8.94,327.64450895013096
2026-07-23,2026-07-17,-77.3297287148141,18.042745297064073,0.0,77.3297287148141
2026-07-26,2026-07-23,-132.3809332256461,424.85187723593566,0.0,132.3809332256461
2026-07-29,2026-07-26,-452.8764344875529,142.45481125902307,0.0,452.8764344875529
2026-08-04,2026-07-29,-51.32466211832163,240.54366272038774,0.0,51.32466211832163
2026-08-07,2026-08-04,-165.8044607879008,443.2148294841917,0.0,165.8044607879008
2026-08-10,2026-08-07,-401.88183453666363,94.06154656318698,0.0,401.88183453666363
