date,jask_0,jask_1,jask_10,jask_11,jask_12,jask_13,jask_14,jask_15,jask_16,jask_17,jask_18,jask_19,jask_2,jask_3,jask_4,jask_5,jask_6,jask_7,jask_8,jask_9,total_build,total_draw
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,-273.0671034141236,-536.1161647470522,439.6789735429367,-2.012158566929633,-10.17596546079393,8.244533676312363,-9.756122071747319,-16.51472375087341,0.0,0.0,0.0,27.638238450259088,173.7883908881969,-488.4415446034791,-19.48673552557768,-5.526541050566826,3.562245256403112,-29.070804019604285,0.0,0.0,652.9123818141082,-1390.1678632107478
2026-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,-37.83389431075932,-14.461607523846556,6.402697071073402,-12.766256362524233,-6.6524411034677176,-36.55868159104849,-0.9861671969313175,5.153634359064163,0.0,-12.883733486863902,0.0,-33.210447214602375,-518.8347730580903,130.11141456258753,8.547874227225199,-10.137402337956242,126.16143651348732,9.099040038111387,0.0,0.0,285.476096771549,-684.3254041860904
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,55.79270639844256,34.64023469472875,68.34412812121923,17.1567840496056,18.759002522683122,60.04201276682853,28.55473103060399,8.299203240923525,0.0,12.883733486863902,0.0,33.210447214602375,-19.39367141227826,68.73642805962608,2.725030524528178,18.14498831207765,-5.31208802255278,-4.793849600502872,0.0,0.0,427.28943042273346,-29.49960903533391
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,-33.364255732488644,349.1684244585815,0.0,0.0,-1.9437251279044432,-42.35034425585054,-17.279074176611495,2.6383978014318856,0.0,0.0,0.0,-19.36624833098834,36.64923887497606,25.910108821562492,9.063822736889298,-5.793271164403472,16.061891401734844,30.594041301801276,0.0,0.0,470.08592539697736,-120.09691878824692
2026-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,25.45882590242644,160.60367196710607,0.0,0.0,-7.509186446492327,27.927752904475376,-0.45097849924879846,-11.33087604085816,0.0,0.0,0.0,19.36624833098834,-44.96557398257521,46.567411879366205,-16.80906909596565,-0.32441259246686244,-27.813118943030773,-28.52958608902531,0.0,0.0,279.9239109843624,-137.7328016896631
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,-33.34148911158339,6.013205363001325,0.0,0.0,-0.2180172628283035,-31.42370549125626,-8.482288208731159,1.9362552487016655,0.0,-3.0995276283267885,0.0,-29.72852195091336,198.837204966968,217.1161812803368,11.037552120381093,-5.400811041329056,18.93574045449798,14.566075575280236,0.0,0.0,468.4422150091671,-111.69436069496831
2026-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,316.8448564508754,0.15223578748106956,0.0,0.0,3.0456649468927646,-8.676818986652885,3.317546965994465,4.5373292237889835,0.0,1.8471342159162742,0.0,-91.64245478708699,347.70757461099976,0.0,3.5628672437832574,2.9064655881232464,8.726816686133796,11.827101177168428,0.0,0.0,704.4755928971574,-100.31927377373988
2026-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
