date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-25,2026-06-18,-19.022949488318673,826.6086561146278,0.0,19.022949488318673
2026-07-01,2026-06-25,-735.5118859801388,169.1392888695605,1800.0,-1064.4881140198613
2026-07-07,2026-07-01,-89.45718579731766,798.3247602369563,0.0,89.45718579731766
2026-07-13,2026-07-07,-734.124295026234,395.97344208861625,1038.6,-304.4757049737659
2026-07-19,2026-07-13,-811.7731341565172,540.6846371649374,1024.0,-212.22686584348276
2026-07-25,2026-07-19,-1126.7339178747054,682.3038786760592,0.0,1126.7339178747054
2026-07-31,2026-07-25,-682.0156466786509,261.4500599801729,1314.53,-632.5143533213491
2026-08-06,2026-07-31,-78.57845163802536,876.8394715801818,0.0,78.57845163802536
2026-08-12,2026-08-06,-244.85791291101975,664.9856159118058,0.0,244.85791291101975
