,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
533,AZHIN,9288095,VLCC,IRAN,Entered MEG,2026-06-26,Dark/Unknown Route,Ballast,,0,bbl,Dongjiakou,China,Mideast Gulf,,298972,"2,005",JAPAN,298.972,VLCC,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
528,AL SIDDEEQ,9853486,VLCC,KUWAIT,Entered MEG,2026-06-26,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Mina Al-Ahmadi,Kuwait,323514,"2,021",CHINA,323.514,ULCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
545,NATSUMI,9331244,VLCC,BARBADOS,Entered MEG,2026-06-26,Iranian Route,Ballast,,0,bbl,Changxing,China,,,299235,"2,006",CHINA,299.235,VLCC,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
547,OAK,9667382,Small Tankers,SAN MARINO,Entered MEG,2026-06-26,Dark/Unknown Route,Ballast,,0,bbl,Mumbai,India,Hamriya,United Arab Emirates,3285,"2,022",CHINA,3.285,Below GP,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
523,VELOS TURQUOISE,9645786,MR,MARSHALL ISLANDS,Entered MEG,2026-06-27,Omani Route,Ballast,,0,bbl,Dar Es Salam,Tanzania,Jubail Industrial Port,Saudi Arabia,49990,"2,013",REPUBLIC OF KOREA,49.99,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
513,KAWAKAWA,9660413,Small Tankers,SAINT KITTS AND NEVIS,Entered MEG,2026-06-27,Iranian Route,Laden,CPP,4579,bbl,Hamriya,United Arab Emirates,,,4800,"2,012",CHINA,4.8,Below GP,products,tagged,4579.0,False,False,False,False,False,clean fleet
504,BLAZE,9281566,MR,PALAU,Entered MEG,2026-06-27,Omani Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Iran,Iran,45592,"2,005",CROATIA,45.592,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
502,ASPHALT ALLIANCE,9287883,Short Sea Tankers,PANAMA,Entered MEG,2026-06-27,Omani Route,Ballast,,0,bbl,Tanjung Langsat,Malaysia,Khor Al Zubair Port,Iraq,5895,"2,004",TURKIYE,5.895,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
484,SHEN ZHOU,9300996,MR,CURACAO,Entered MEG,2026-06-29,Iranian Route,Ballast,,0,bbl,Kamaran,Yemen,Lavan,Iran,51303,"2,005",REPUBLIC OF KOREA,51.303,LR1,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
489,ZAYA,9280146,Short Sea Tankers,PALAU,Entered MEG,2026-06-29,Dark/Unknown Route,Ballast,,0,bbl,Karachi,Pakistan,Khor Al Zubair Port,Iraq,6919,"2,004",TURKIYE,6.919,Below GP,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
467,AL MAHBOOBAH,9340415,Intermediate Tankers,SAUDI ARABIA,Entered MEG,2026-06-29,Omani Route,Ballast,,0,bbl,Yangpu,China,Jubail Industrial Port,Saudi Arabia,19982,"2,006",JAPAN,19.982,GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
475,FELICITY,9297436,Panamax/LR1,NORWAY,Entered MEG,2026-06-29,Iranian Route,Ballast,,0,bbl,Sohar Light.,Oman,Umm Qasr South,Iraq,70955,"2,005",JAPAN,70.955,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
477,HELLAS NEMESIS,9722649,MR,MALTA,Entered MEG,2026-06-29,Dark/Unknown Route,Laden,CPP,345380,bbl,Longkou,China,Ruwais,United Arab Emirates,49994,"2,016",REPUBLIC OF KOREA,49.994,LR1,products,tagged,345380.0,False,False,False,True,False,clean fleet
485,UNITED VENTURE,9523471,Short Sea Tankers,SIERRA LEONE,Entered MEG,2026-06-29,Dark/Unknown Route,Ballast,,0,bbl,,,,,6365,"2,012",CHINA,6.365,Below GP,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
446,SURINAME PROSPERITY,9376749,VLCC,LIBERIA,Entered MEG,2026-07-01,Dark/Unknown Route,Ballast,,0,bbl,Balikpapan,Indonesia,Al Basrah,Iraq,297556,"2,009",CHINA,297.556,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
432,CARLYNA,9834507,Small Tankers,PANAMA,Entered MEG,2026-07-01,Omani Route,Ballast,,0,bbl,,,,,1076,"2,021",CHINA,1.076,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
428,BARBADOS PROSPERITY,9377418,VLCC,PANAMA,Entered MEG,2026-07-01,Dark/Unknown Route,Ballast,,0,bbl,Qingdao,China,Al Basrah,Iraq,297958,"2,010",JAPAN,297.958,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
433,FINLAND PROSPERITY,9376751,VLCC,LIBERIA,Entered MEG,2026-07-01,Omani Route,Ballast,,0,bbl,Bataan,Philippines,Al Basrah,Iraq,297573,"2,009",CHINA,297.573,VLCC,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
399,BAHAMAS PROSPERITY,9327114,VLCC,LIBERIA,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,0,bbl,Yantai,China,Al Basrah,Iraq,300246,"2,007",JAPAN,300.246,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
401,DALIA,9820324,MR,IRAN,Entered MEG,2026-07-02,Iranian Route,Ballast,,0,bbl,Shahid Beheshti Port,Iran,Lavan,Iran,49000,"2,018",REPUBLIC OF KOREA,49.0,LR1,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
418,SERENA,9569645,VLCC,IRAN,Entered MEG,2026-07-02,Iranian Route,Ballast,,0,bbl,Offshore Hong Kong,,,,317536,"2,013",CHINA,317.536,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
416,SALINA,9357377,Suezmax/LR3,IRAN,Entered MEG,2026-07-02,Iranian Route,Ballast,,0,bbl,EOPL,,Soroosh,Iran,164154,"2,009",REPUBLIC OF KOREA,164.154,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
