,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
37,ARGO MARIS,9041643,Small Tankers,CURACAO,Entered MEG,2026-08-04,Iranian Route,Ballast,,0,bbl,Muscat,Oman,Bandar Abbas,Iran,1229,"1,991",JAPAN,1.229,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
40,KESHAVA,9459319,Small Tankers,GABON,Entered MEG,2026-08-04,Iranian Route,Ballast,,0,bbl,Pipavav,India,Sharjah,United Arab Emirates,4999,"2,008",CHINA,4.999,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
42,MEZAIRA'A,9487275,Panamax/LR1,LIBERIA,Entered MEG,2026-08-04,Dark/Unknown Route,Ballast,,0,bbl,Sohar,Oman,,,74854,"2,011",REPUBLIC OF KOREA,74.854,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
43,PANAMA PROSPERITY,9514561,VLCC,LIBERIA,Entered MEG,2026-08-04,Dark/Unknown Route,Ballast,,0,bbl,Jieyang,China,Al Basrah,Iraq,297491,"2,011",CHINA,297.491,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
45,STARWAY,9273246,MR,PANAMA,Entered MEG,2026-08-04,Iranian Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Sharjah,United Arab Emirates,46048,"2,004",REPUBLIC OF KOREA,46.048,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
49,ANGOLA B,9623685,VLCC,LIBERIA,Entered MEG,2026-08-03,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Al Basrah,Iraq,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
51,BILI,9285756,MR,GAMBIA,Entered MEG,2026-08-03,Dark/Unknown Route,Laden,CPP,136954,bbl,Bandar Abbas,Iran,,,46803,"2,004",REPUBLIC OF KOREA,46.803,LR1,products,tagged,136954.0,True,True,True,True,True,dark fleet
54,AL FUNTAS,9653408,VLCC,KUWAIT,Entered MEG,2026-08-02,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Mina Al-Ahmadi,Kuwait,316648,"2,014",REPUBLIC OF KOREA,316.648,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
55,AL SALAM II,9328168,Panamax/LR1,KUWAIT,Entered MEG,2026-08-02,Dark/Unknown Route,Ballast,,0,bbl,Kutch Light.,India,Mina Al-Ahmadi,Kuwait,69789,"2,007",REPUBLIC OF KOREA,69.789,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
57,HELGA,9176993,VLCC,COMOROS,Entered MEG,2026-08-02,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Al Basrah,Iraq,298620,"2,000",JAPAN,298.62,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
58,JAMAICA PROSPERITY,9529956,VLCC,LIBERIA,Entered MEG,2026-08-02,Dark/Unknown Route,Ballast,,0,bbl,Huizhou,China,Al Basrah,Iraq,314000,"2,012",REPUBLIC OF KOREA,314.0,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
59,KAZIMAH III,9329693,VLCC,KUWAIT,Entered MEG,2026-08-02,Dark/Unknown Route,Ballast,,0,bbl,Gulf of Oman,,Mina Al-Ahmadi,Kuwait,317250,"2,006",REPUBLIC OF KOREA,317.25,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
61,VELOS AMBER,9571038,Panamax/LR1,MARSHALL ISLANDS,Entered MEG,2026-08-02,Dark/Unknown Route,Ballast,,0,bbl,Daesan,South Korea,Jubail Industrial Port,Saudi Arabia,74902,"2,010",JAPAN,74.902,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
65,JOVIAN,9236054,Intermediate Tankers,BAHAMAS,Entered MEG,2026-08-01,Iranian Route,Laden,Veg/Bio,132105,bbl,Port Klang,Malaysia,Jubail Industrial Port,Saudi Arabia,20601,"2,001",JAPAN,20.601,GP,other,tagged,0.0,False,False,False,False,False,clean fleet
