imo,vessel_name,vessel_key,flag,afra_class,dwt,fleet,is_dark_fleet,n_crossings,n_enter,n_exit,first_enter,last_enter,last_exit,last_direction,last_crossing_date,last_crossing_type,last_loading_state_xing,last_cargo_type_xing,next_port_xing,in_out,days_since_enter,days_since_exit
9251884,LOANNA,LOANNA,CURACAO,LR1,46764,dark fleet,True,1,1,0,2026-03-01,2026-03-01,,Entered MEG,2026-03-01,Dark/Unknown Route,Ballast,,,in,135.0,
9251896,MARAL,MARAL,CURACAO,LR1,46764,dark fleet,True,2,1,1,2026-07-11,2026-07-11,2026-04-20,Entered MEG,2026-07-11,Iranian Route,Laden,CPP,,in,3.0,85.0
9252072,FAROG,FAROG,CURACAO,LR1,47355,dark fleet,True,1,1,0,2026-03-01,2026-03-01,,Entered MEG,2026-03-01,Dark/Unknown Route,Ballast,,,in,135.0,
9256298,ALFONSO,ALFONSO,BARBADOS,MR,38877,clean fleet,False,5,3,2,2026-06-14,2026-07-10,2026-07-06,Entered MEG,2026-07-10,Dark/Unknown Route,Ballast,,Hamriya,in,4.0,8.0
9257503,ATLANTIS II,ATLANTIS II,IRAN,LR1,73004,dark fleet,True,2,1,1,2026-04-30,2026-04-30,2026-04-22,Entered MEG,2026-04-30,Iranian Route,Ballast,,Bandar Abbas,in,75.0,83.0
9258466,ASHLEY,ASHLEY,ANTIGUA AND BARBUDA,LR1,68524,clean fleet,False,2,1,1,2026-06-30,2026-06-30,2026-06-20,Entered MEG,2026-06-30,Dark/Unknown Route,Ballast,,Khor Al Zubair Light.,in,14.0,24.0
9258521,LAUREN II,LAUREN II,PANAMA,VLCC,298564,dark fleet,True,1,1,0,2026-06-18,2026-06-18,,Entered MEG,2026-06-18,Dark/Unknown Route,Ballast,,Kharg Island,in,26.0,
9258870,UMA,UMA,GUYANA,AFRA,114761,dark fleet,True,1,1,0,2026-03-31,2026-03-31,,Entered MEG,2026-03-31,Iranian Route,Ballast,,Soroosh,in,105.0,
9260067,OSTRIA,OSTRIA,BOTSWANA,MR,40271,dark fleet,True,4,2,2,2026-06-17,2026-07-14,2026-06-30,Entered MEG,2026-07-14,Iranian Route,Laden,CPP,Khor Al Zubair Port,in,0.0,14.0
9261841,GREEN LINE,GREEN LINE,PALAU,GP,10018,clean fleet,False,1,1,0,2026-06-20,2026-06-20,,Entered MEG,2026-06-20,Iranian Route,Laden,CPP,,in,24.0,
9263954,HEMERA,HEMERA,PALAU,Below GP,9214,dark fleet,True,1,1,0,2026-07-03,2026-07-03,,Entered MEG,2026-07-03,Iranian Route,Ballast,,,in,11.0,
9273002,STARBOUND EXPLORER,STARBOUND EXPLORER,MADAGASCAR,Below GP,7717,dark fleet,True,4,2,2,2026-05-11,2026-06-08,2026-06-03,Entered MEG,2026-06-08,Iranian Route,Ballast,,Iran,in,36.0,41.0
9273650,SEAWAY,SEAWAY,PANAMA,LR1,46101,clean fleet,False,6,3,3,2026-04-30,2026-07-01,2026-06-22,Entered MEG,2026-07-01,Iranian Route,Ballast,,Sohar,in,13.0,22.0
9273832,EPIK,EPIK,PANAMA,LR1,46719,clean fleet,False,3,2,1,2026-03-30,2026-06-24,2026-04-12,Entered MEG,2026-06-24,IMO Route,Ballast,,Hamriya,in,20.0,93.0
9274654,TONDA,TONDA,MARSHALL ISLANDS,MR,36803,clean fleet,False,1,1,0,2026-07-11,2026-07-11,,Entered MEG,2026-07-11,Dark/Unknown Route,Ballast,,Jubail Industrial Port,in,3.0,
9281554,LOUIZA,LOUIZA,CURACAO,LR1,45557,dark fleet,True,5,3,2,2026-03-31,2026-06-19,2026-06-04,Entered MEG,2026-06-19,Iranian Route,Ballast,,Assaluyeh,in,25.0,40.0
9281566,BLAZE,BLAZE,PALAU,LR1,45592,clean fleet,False,2,1,1,2026-06-27,2026-06-27,2026-04-18,Entered MEG,2026-06-27,Omani Route,Ballast,,Iran,in,17.0,87.0
9281695,ALICIA,ALICIA,CURACAO,VLCC,281396,dark fleet,True,1,1,0,2026-04-14,2026-04-14,,Entered MEG,2026-04-14,Iranian Route,Ballast,,,in,91.0,
9282041,KAVIZ,KAVIZ,COMOROS,AFRA,115390,dark fleet,True,1,1,0,2026-04-28,2026-04-28,,Entered MEG,2026-04-28,Dark/Unknown Route,Ballast,,Kharg Island,in,77.0,
9282522,KUSH,KUSH,COMOROS,LR1,46866,dark fleet,True,2,1,1,2026-03-30,2026-03-30,2026-03-25,Entered MEG,2026-03-30,Dark/Unknown Route,Ballast,,,in,106.0,111.0
9285823,KIARA M,KIARA M,SAN MARINO,VLCC,319247,clean fleet,False,7,4,3,2026-04-26,2026-07-04,2026-06-26,Entered MEG,2026-07-04,Dark/Unknown Route,Ballast,,Al Basrah,in,10.0,18.0
9286437,SELENIA,SELENIA,PALAU,Below GP,5765,clean fleet,False,2,1,1,2026-05-08,2026-05-08,2026-02-28,Entered MEG,2026-05-08,Dark/Unknown Route,Ballast,,Khor Al Zubair Port,in,67.0,136.0
9287883,ASPHALT ALLIANCE,ASPHALT ALLIANCE,PANAMA,Below GP,5895,clean fleet,False,1,1,0,2026-06-27,2026-06-27,,Entered MEG,2026-06-27,Omani Route,Ballast,,Khor Al Zubair Port,in,17.0,
9288095,LAN JING,LAN JING,CURACAO,VLCC,298972,dark fleet,True,2,1,1,2026-06-26,2026-06-26,2026-03-11,Entered MEG,2026-06-26,Dark/Unknown Route,Ballast,,Mideast Gulf,in,18.0,125.0
9289491,BELMA,BELMA,CURACAO,ULCC,320821,dark fleet,True,1,1,0,2026-07-14,2026-07-14,,Entered MEG,2026-07-14,Iranian Route,Ballast,,,in,0.0,
9289726,MADESTAR,MADESTAR,CAMEROON,VLCC,319180,dark fleet,True,1,1,0,2026-07-11,2026-07-11,,Entered MEG,2026-07-11,Iranian Route,Ballast,,,in,3.0,
9289740,WORLD COURAGE,WORLD COURAGE,CURACAO,LR1,46992,dark fleet,True,1,1,0,2026-03-13,2026-03-13,,Entered MEG,2026-03-13,Dark/Unknown Route,Ballast,,,in,123.0,
9292486,GOLDCREST,GOLDCREST,MOZAMBIQUE,VLCC,306998,dark fleet,True,1,1,0,2026-05-30,2026-05-30,,Entered MEG,2026-05-30,Dark/Unknown Route,Ballast,,Kharg Island,in,45.0,
9293155,BENEDICT,BENEDICT,CAMEROON,AFRA,106062,dark fleet,True,1,1,0,2026-07-14,2026-07-14,,Entered MEG,2026-07-14,Iranian Route,Ballast,,Khor Al Zubair Port,in,0.0,
9297436,FELICITY,FELICITY,NORWAY,LR1,70955,clean fleet,False,2,2,0,2026-05-23,2026-06-29,,Entered MEG,2026-06-29,Iranian Route,Ballast,,Umm Qasr South,in,15.0,
9299111,ELKA APOLLON,ELKA APOLLON,LIBERIA,AFRA,101970,clean fleet,False,1,1,0,2026-02-28,2026-02-28,,Entered MEG,2026-02-28,IMO Route,Ballast,,Jebel Ali,in,136.0,
9300996,SHEN ZHOU,SHEN ZHOU,CURACAO,LR1,51303,dark fleet,True,1,1,0,2026-06-29,2026-06-29,,Entered MEG,2026-06-29,Iranian Route,Ballast,,Khor Al Zubair Port,in,15.0,
9302011,ADAMARIS,ADAMARIS,SAINT KITTS AND NEVIS,Below GP,1773,clean fleet,False,1,1,0,2026-05-23,2026-05-23,,Entered MEG,2026-05-23,Dark/Unknown Route,Ballast,,,in,52.0,
9304588,PEACE GULF,PEACE GULF,PANAMA,LR1,49999,clean fleet,False,3,2,1,2026-04-14,2026-05-11,2026-04-25,Entered MEG,2026-05-11,Iranian Route,Ballast,,Hamriya,in,64.0,80.0
9305051,MUSIK,MUSIK,BAHAMAS,LR1,46792,clean fleet,False,6,3,3,2026-04-22,2026-07-03,2026-06-16,Entered MEG,2026-07-03,Iranian Route,Ballast,,Bandar Mahshahr,in,11.0,28.0
9305403,BRAVO,BRAVO,LIBERIA,GP,10052,clean fleet,False,1,1,0,2026-07-09,2026-07-09,,Entered MEG,2026-07-09,Iranian Route,Laden,DPP,,in,5.0,
9306469,CELE,CELE,BARBADOS,LR1,46720,clean fleet,False,1,1,0,2026-05-12,2026-05-12,,Entered MEG,2026-05-12,Dark/Unknown Route,Laden,Veg/Bio,,in,63.0,
9308778,AMIL,AMIL,MOZAMBIQUE,LR1,47999,dark fleet,True,1,1,0,2026-06-01,2026-06-01,,Entered MEG,2026-06-01,Dark/Unknown Route,Ballast,,Kharg Island,in,43.0,
9313761,STELLA,STELLA,NORWAY,LR1,45737,clean fleet,False,2,1,1,2026-06-19,2026-06-19,2026-05-10,Entered MEG,2026-06-19,Iranian Route,Ballast,,Khor Al Zubair Port,in,25.0,65.0
9315147,ECUADOR PROSPERITY,ECUADOR PROSPERITY,LIBERIA,VLCC,317826,clean fleet,False,1,1,0,2026-06-29,2026-06-29,,Entered MEG,2026-06-29,Dark/Unknown Route,Ballast,,Al Basrah,in,15.0,
9315159,CAMEROON PROSPERITY,CAMEROON PROSPERITY,LIBERIA,VLCC,317713,clean fleet,False,9,5,4,2026-05-17,2026-07-03,2026-06-27,Entered MEG,2026-07-03,Omani Route,Ballast,,Zirku,in,11.0,17.0
9315161,ROMANIA PROSPERITY,ROMANIA PROSPERITY,LIBERIA,VLCC,317794,clean fleet,False,5,3,2,2026-05-19,2026-06-14,2026-06-07,Entered MEG,2026-06-14,Dark/Unknown Route,Ballast,,Al Basrah,in,30.0,37.0
9327114,BAHAMAS PROSPERITY,BAHAMAS PROSPERITY,LIBERIA,VLCC,300246,clean fleet,False,1,1,0,2026-07-02,2026-07-02,,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,Dubai Area,in,12.0,
9329693,KAZIMAH III,KAZIMAH III,KUWAIT,VLCC,317250,clean fleet,False,1,1,0,2026-05-25,2026-05-25,,Entered MEG,2026-05-25,Dark/Unknown Route,Ballast,,Mina Al-Ahmadi,in,50.0,
9329796,KIKU,KIKU,PANAMA,VLCC,300866,clean fleet,False,3,2,1,2026-06-18,2026-07-12,2026-06-27,Entered MEG,2026-07-12,Dark/Unknown Route,Ballast,,Ras Laffan,in,2.0,17.0
9331244,NATSUMI,NATSUMI,BARBADOS,VLCC,299235,clean fleet,False,1,1,0,2026-06-26,2026-06-26,,Entered MEG,2026-06-26,Iranian Route,Ballast,,Sharjah,in,18.0,
9333228,SEA ELEGANT,SEA ELEGANT,HONG KONG,GP,19734,clean fleet,False,1,1,0,2026-07-04,2026-07-04,,Entered MEG,2026-07-04,Iranian Route,Ballast,,Jubail Industrial Port,in,10.0,
9340415,AL MAHBOOBAH,AL MAHBOOBAH,SAUDI ARABIA,GP,19982,clean fleet,False,1,1,0,2026-06-29,2026-06-29,,Entered MEG,2026-06-29,Omani Route,Ballast,,Jubail Industrial Port,in,15.0,
