imo,vessel_name,vessel_key,flag,afra_class,dwt,fleet,is_dark_fleet,n_crossings,n_enter,n_exit,first_enter,last_enter,last_exit,last_direction,last_crossing_date,last_crossing_type,last_loading_state_xing,last_cargo_type_xing,next_port_xing,in_out,days_since_enter,days_since_exit
9487249,BANI YAS,BANI YAS,LIBERIA,LR1,74913,clean fleet,False,2,2,0,2026-06-06,2026-06-11,,Entered MEG,2026-06-11,Dark/Unknown Route,Laden,CPP,Jebel Ali,in,33.0,
9487251,DIYYINAH I,DIYYINAH I,LIBERIA,LR1,74954,clean fleet,False,3,2,1,2026-05-12,2026-06-14,2026-05-20,Entered MEG,2026-06-14,Dark/Unknown Route,Ballast,,Ruwais,in,30.0,55.0
9487263,YAMILAH III,YAMILAH III,LIBERIA,LR1,74866,clean fleet,False,1,1,0,2026-06-16,2026-06-16,,Entered MEG,2026-06-16,Dark/Unknown Route,Ballast,,,in,28.0,
9487275,MEZAIRA'A,MEZAIRA'A,LIBERIA,LR1,74854,clean fleet,False,3,2,1,2026-05-27,2026-06-18,2026-06-05,Entered MEG,2026-06-18,Dark/Unknown Route,Ballast,,Dubai Light.,in,26.0,39.0
9508859,ROTTERDAM ENERGY,ROTTERDAM ENERGY,LIBERIA,VLCC,296659,clean fleet,False,6,3,3,2026-06-16,2026-07-10,2026-07-01,Entered MEG,2026-07-10,Dark/Unknown Route,Ballast,,Zirku,in,4.0,13.0
9511179,PONTUS,PONTUS,PALAU,Below GP,5752,clean fleet,False,2,1,1,2026-06-24,2026-06-24,2026-02-28,Entered MEG,2026-06-24,IMO Route,Laden,DPP,Jebel Ali,in,20.0,136.0
9516947,NEW GIANT,NEW GIANT,LIBERIA,VLCC,319611,clean fleet,False,1,1,0,2026-07-13,2026-07-13,,Entered MEG,2026-07-13,Dark/Unknown Route,Ballast,,Al Basrah,in,1.0,
9521485,MADHURI,MADHURI,ANTIGUA AND BARBUDA,Below GP,7058,clean fleet,False,1,1,0,2026-06-12,2026-06-12,,Entered MEG,2026-06-12,Dark/Unknown Route,Ballast,,Khor Al Zubair Port,in,32.0,
9523471,UNITED VENTURE,UNITED VENTURE,SIERRA LEONE,Below GP,6365,clean fleet,False,1,1,0,2026-06-29,2026-06-29,,Entered MEG,2026-06-29,Dark/Unknown Route,Ballast,,,in,15.0,
9526461,SOUTH AFRICA PROSPERITY,SOUTH AFRICA PROSPERITY,LIBERIA,VLCC,299992,clean fleet,False,1,1,0,2026-06-22,2026-06-22,,Entered MEG,2026-06-22,Omani Route,Ballast,,Al Basrah,in,22.0,
9532159,MACARENA,MACARENA,MARSHALL ISLANDS,AFRA,108993,clean fleet,False,1,1,0,2026-07-06,2026-07-06,,Entered MEG,2026-07-06,Dark/Unknown Route,Ballast,,Jubail Industrial Port,in,8.0,
9534004,EGYPT PROSPERITY,EGYPT PROSPERITY,LIBERIA,VLCC,318663,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,Al Basrah,in,9.0,
9534808,AL RIQQA,AL RIQQA,KUWAIT,VLCC,319704,clean fleet,False,3,2,1,2026-05-27,2026-06-10,2026-06-04,Entered MEG,2026-06-10,Dark/Unknown Route,Ballast,,Mina Al-Ahmadi,in,34.0,40.0
9534858,COSTA RICA PROSPERITY,COSTA RICA PROSPERITY,LIBERIA,VLCC,297136,clean fleet,False,1,1,0,2026-06-30,2026-06-30,,Entered MEG,2026-06-30,Dark/Unknown Route,Ballast,,Al Basrah,in,14.0,
9546722,OCEANJET,OCEANJET,NICARAGUA,Below GP,9965,dark fleet,True,4,2,2,2026-04-30,2026-05-24,2026-05-21,Entered MEG,2026-05-24,Iranian Route,Ballast,,Iran,in,51.0,54.0
9548990,ATEELA 1,ATEELA 1,IRAN,Below GP,6500,dark fleet,True,1,1,0,2026-05-29,2026-05-29,,Entered MEG,2026-05-29,Iranian Route,Laden,CPP,,in,46.0,
9561368,EL BELLA,EL BELLA,PANAMA,LR1,47975,clean fleet,False,1,1,0,2026-07-07,2026-07-07,,Entered MEG,2026-07-07,Omani Route,Ballast,,Mina Al-Ahmadi,in,7.0,
9569645,SERENA,SERENA,IRAN,VLCC,317536,dark fleet,True,2,1,1,2026-07-02,2026-07-02,2026-03-16,Entered MEG,2026-07-02,Iranian Route,Ballast,,,in,12.0,120.0
9569700,DERYA,DERYA,IRAN,VLCC,319295,dark fleet,True,3,2,1,2026-03-24,2026-07-07,2026-04-03,Entered MEG,2026-07-07,Dark/Unknown Route,Ballast,,,in,7.0,102.0
9645786,VELOS TURQUOISE,VELOS TURQUOISE,MARSHALL ISLANDS,LR1,49990,clean fleet,False,1,1,0,2026-06-27,2026-06-27,,Entered MEG,2026-06-27,Omani Route,Ballast,,Jubail Industrial Port,in,17.0,
9653410,AL DERWAZAH,AL DERWAZAH,KUWAIT,VLCC,316884,clean fleet,False,1,1,0,2026-06-13,2026-06-13,,Entered MEG,2026-06-13,Dark/Unknown Route,Ballast,,Mina Al-Ahmadi,in,31.0,
9656034,BUBYAN,BUBYAN,KUWAIT,LR1,46320,clean fleet,False,1,1,0,2026-06-02,2026-06-02,,Entered MEG,2026-06-02,Dark/Unknown Route,Ballast,,Al Zour,in,42.0,
9659672,THE DIPLOMAT,THE DIPLOMAT,MARSHALL ISLANDS,MR,31281,clean fleet,False,2,1,1,2026-07-04,2026-07-04,2026-02-28,Entered MEG,2026-07-04,Dark/Unknown Route,Laden,DPP,Jebel Ali,in,10.0,136.0
9660413,KAWAKAWA,KAWAKAWA,SAINT KITTS AND NEVIS,Below GP,4800,clean fleet,False,1,1,0,2026-06-27,2026-06-27,,Entered MEG,2026-06-27,Iranian Route,Ballast,,,in,17.0,
9667382,OAK,OAK,COMOROS,Below GP,3285,clean fleet,False,2,1,1,2026-06-26,2026-06-26,2026-05-10,Entered MEG,2026-06-26,Dark/Unknown Route,Ballast,,,in,18.0,65.0
9722649,HELLAS NEMESIS,HELLAS NEMESIS,MALTA,LR1,49994,clean fleet,False,1,1,0,2026-06-29,2026-06-29,,Entered MEG,2026-06-29,Dark/Unknown Route,Laden,CPP,Ruwais,in,15.0,
9722924,SPAIN B,SPAIN B,LIBERIA,VLCC,299446,clean fleet,False,1,1,0,2026-07-01,2026-07-01,,Entered MEG,2026-07-01,Dark/Unknown Route,Ballast,,Ras Tanura,in,13.0,
9722936,KUWAIT PROSPERITY,KUWAIT PROSPERITY,LIBERIA,VLCC,299533,clean fleet,False,1,1,0,2026-06-27,2026-06-27,,Entered MEG,2026-06-27,Dark/Unknown Route,Ballast,,Al Basrah,in,17.0,
9723071,FUJAIRAH ENERGY,FUJAIRAH ENERGY,LIBERIA,VLCC,299999,clean fleet,False,4,2,2,2026-06-03,2026-06-24,2026-06-19,Entered MEG,2026-06-24,Dark/Unknown Route,Ballast,,Fateh Field,in,20.0,25.0
9732553,COLOMBIA PROSPERITY,COLOMBIA PROSPERITY,LIBERIA,VLCC,299010,clean fleet,False,1,1,0,2026-06-30,2026-06-30,,Entered MEG,2026-06-30,Dark/Unknown Route,Ballast,,Ras Tanura,in,14.0,
9746190,SC FALCON,SC FALCON,HONG KONG,MR,33984,clean fleet,False,1,1,0,2026-07-11,2026-07-11,,Entered MEG,2026-07-11,Iranian Route,Ballast,,Mina Al-Ahmadi,in,3.0,
9760885,BAVAN,BAVAN,IRAN,Below GP,4261,clean fleet,False,2,1,1,2026-04-20,2026-04-20,2026-04-09,Entered MEG,2026-04-20,Iranian Route,Ballast,,,in,85.0,96.0
9792266,CONGO PROSPERITY,CONGO PROSPERITY,LIBERIA,VLCC,300853,clean fleet,False,1,1,0,2026-06-30,2026-06-30,,Entered MEG,2026-06-30,Dark/Unknown Route,Ballast,,Al Basrah,in,14.0,
9820324,DALIA,DALIA,IRAN,LR1,49000,dark fleet,True,8,4,4,2026-03-08,2026-07-02,2026-06-25,Entered MEG,2026-07-02,Iranian Route,Ballast,,Lavan,in,12.0,19.0
9820336,PETUNIA,PETUNIA,IRAN,LR1,49288,dark fleet,True,2,1,1,2026-07-08,2026-07-08,2026-07-02,Entered MEG,2026-07-08,Iranian Route,Ballast,,Bandar Mahshahr,in,6.0,12.0
9823546,JARNAIN,JARNAIN,LIBERIA,AFRA,114831,clean fleet,False,5,3,2,2026-06-14,2026-07-11,2026-07-03,Entered MEG,2026-07-11,Dark/Unknown Route,Ballast,,Ruwais,in,3.0,11.0
9825025,MONJASA SHIPPER,MONJASA SHIPPER,LIBERIA,Below GP,7991,clean fleet,False,2,1,1,2026-06-05,2026-06-05,2026-02-28,Entered MEG,2026-06-05,Dark/Unknown Route,Ballast,,,in,39.0,136.0
9834507,CARLYNA,CARLYNA,PANAMA,Below GP,1076,clean fleet,False,1,1,0,2026-07-01,2026-07-01,,Entered MEG,2026-07-01,Omani Route,Ballast,,,in,13.0,
9854507,DAS,DAS,LIBERIA,VLCC,299995,clean fleet,False,9,5,4,2026-05-18,2026-07-12,2026-07-07,Entered MEG,2026-07-12,Dark/Unknown Route,Ballast,,Zirku,in,2.0,7.0
9858486,SANAM,SANAM,SAUDI ARABIA,VLCC,299999,clean fleet,False,1,1,0,2026-07-07,2026-07-07,,Entered MEG,2026-07-07,Dark/Unknown Route,Ballast,,Ras Tanura,in,7.0,
9901348,MARAN ANTIOPE,MARAN ANTIOPE,GREECE,VLCC,318600,clean fleet,False,1,1,0,2026-07-02,2026-07-02,,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,,in,12.0,
9917804,LORA,LORA,SAUDI ARABIA,LR1,55202,clean fleet,False,2,1,1,2026-06-08,2026-06-08,2026-06-01,Entered MEG,2026-06-08,Dark/Unknown Route,Ballast,,Jubail Industrial Port,in,36.0,43.0
9920758,NISSOS KEA,NISSOS KEA,MARSHALL ISLANDS,VLCC,300323,clean fleet,False,3,2,1,2026-06-23,2026-07-09,2026-06-29,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,Mesaieed,in,5.0,15.0
9940459,IXORA,IXORA,LIBERIA,AFRA,111006,clean fleet,False,1,1,0,2026-06-25,2026-06-25,,Entered MEG,2026-06-25,Dark/Unknown Route,Ballast,,Mina Al-Ahmadi,in,19.0,
9956707,MARINE CHARGE,MARINE CHARGE,SINGAPORE,Below GP,8285,clean fleet,False,1,1,0,2026-02-28,2026-02-28,,Entered MEG,2026-02-28,IMO Route,Ballast,,,in,136.0,
9989027,SC CITRINE,SC CITRINE,HONG KONG,MR,26734,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Iranian Route,Ballast,,Mina Al-Ahmadi,in,9.0,
