,load_vessel_name,load_vessel_imo,discharge_vessel_name,discharge_vessel_imo,zone_name,start,end,cargo_origin_barrels_split_by_product,cargo_origin_tons_split_by_product,closest_ancestor_product,closest_ancestor_grade,ship_to_ship_id,query_zone,load_vessel_key,discharge_vessel_key,zone_label,sts_zone,sts_volume_bbl,receiver_in_soh_exits,giver_in_soh_hist,origin,origin_bucket,grade_trade,vol_bbl
53,Vera,9304655,Daniel,9569683,Gulf of Oman,2026-07-10 00:00:00,2026-07-11 00:00:00,2000002,276638,Crude,Iran,393521763,Gulf of Oman,VERA,DANIEL,Gulf of Oman,Gulf of Oman,2000002,True,True,,unknown,,2000002
54,Evros,1087536,Al Funtas,9653408,Sohar Light.,2026-07-08 00:00:00,2026-07-09 00:00:00,2000002,278228,Crude,Kuwait,392860660,Gulf of Oman,EVROS,AL FUNTAS,Sohar Light.,Sohar Light,2000002,True,False,,unknown,,2000002
55,Yuan Gui Yang,9843302,Das,9854507,Fujairah Light.,2026-07-08 00:00:00,2026-07-11 00:00:00,1996429,271065,Crude,Zakum,392862524,Gulf of Oman,YUAN GUI YANG,DAS,Fujairah Light.,Fujairah Light,1996429,True,True,,unknown,,1996429
56,Tamba,9343405,Hafeet,9928009,Sohar Light.,2026-07-08 00:00:00,2026-07-09 00:00:00,1996461,271069,Crude,Zakum,392862514,Gulf of Oman,TAMBA,HAFEET,Sohar Light.,Sohar Light,1996461,True,False,,unknown,,1996461
57,Yuan Peng Yang,9847633,Kiku,9329796,Fujairah Light.,2026-07-06 20:19:00,2026-07-09 08:50:00,2011726,284017,Crude,Shaheen,392517038,Gulf of Oman,YUAN PENG YANG,KIKU,Fujairah Light.,Fujairah Light,2011726,True,True,,unknown,,2011726
58,Ocean Loyalty,9375238,Angola B,9623685,Sohar Light.,2026-07-06 00:00:00,2026-07-08 00:00:00,2009185,265450,Crude,Das,392517378,Gulf of Oman,OCEAN LOYALTY,ANGOLA B,Sohar Light.,Sohar Light,2009185,True,False,,unknown,,2009185
60,Tara,1042500,France C,9322281,Sohar Light.,2026-07-06 00:00:00,2026-07-07 00:00:00,2000002,264237,Crude,Das,392516939,Gulf of Oman,TARA,FRANCE C,Sohar Light.,Sohar Light,2000002,True,False,,unknown,,2000002
62,Alexandros,9905459,Grand Lady,9406166,Fujairah Light.,2026-07-06 00:00:00,2026-07-07 00:00:00,1959999,277025,Crude,Basrah,392517887,Gulf of Oman,ALEXANDROS,GRAND LADY,Fujairah Light.,Fujairah Light,1959999,True,False,,unknown,,1959999
63,Twin Pollux,9625968,Rotterdam Energy,9508859,Sohar Light.,2026-07-06 00:00:00,2026-07-08 23:19:00,1986831,269762,Crude,Zakum,392516847,Gulf of Oman,TWIN POLLUX,ROTTERDAM ENERGY,Sohar Light.,Sohar Light,1986831,True,False,,unknown,,1986831
65,Irini N. Lemos,9831218,Nissos Kea,9920758,Sohar Light.,2026-07-04 09:58:00,2026-07-08 02:23:00,200003,26137,Crude,Qatar Land,391933248,Gulf of Oman,IRINI N. LEMOS,NISSOS KEA,Sohar Light.,Sohar Light,200003,True,False,Mina Al Fahal,hormuz_side_load,Oman,200003
66,Irini N. Lemos,9831218,Nissos Kea,9920758,Sohar Light.,2026-07-04 09:58:00,2026-07-08 02:23:00,1799999,242678,Crude,Qatar Mar.,391933248,Gulf of Oman,IRINI N. LEMOS,NISSOS KEA,Sohar Light.,Sohar Light,1799999,True,False,Mina Al Fahal,hormuz_side_load,Oman,1799999
67,New Achievement,9686340,Malaysia Prosperity,9395305,Fujairah Light.,2026-07-04 00:17:00,2026-07-06 21:07:00,2000002,275366,Crude,ME,391876017,Gulf of Oman,NEW ACHIEVEMENT,MALAYSIA PROSPERITY,Fujairah Light.,Fujairah Light,2000002,False,True,,unknown,,2000002
68,Tunisia Prosperity,9568809,Alexandros,9905459,Fujairah Light.,2026-07-02 03:39:00,2026-07-04 19:59:00,1959999,296034,Crude,Merey,391538242,Gulf of Oman,TUNISIA PROSPERITY,ALEXANDROS,Fujairah Light.,Fujairah Light,1959999,False,True,FOTT,hormuz_side_load,,1959999
69,Mardan,9360453,Ocean Loyalty,9375238,Fujairah Light.,2026-06-30 22:18:00,2026-07-02 12:19:00,646535,83980,Crude,Umm Lulu,391432496,Gulf of Oman,MARDAN,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,646535,False,False,FOTT,hormuz_side_load,,646535
70,Desh Ujaala,9297486,Nissos Heraclea,9419618,Sohar Light.,2026-06-30 20:59:00,2026-07-03 22:34:00,2094689,296062,Crude,Basrah,391392410,Gulf of Oman,DESH UJAALA,NISSOS HERACLEA,Sohar Light.,Sohar Light,2094689,True,False,,unknown,,2094689
71,Amphitrite,9455973,Al Kout,9653434,Fujairah Light.,2026-06-30 00:00:00,2026-07-01 00:00:00,2000002,278228,Crude,Kuwait,392858747,Gulf of Oman,AMPHITRITE,AL KOUT,Fujairah Light.,Fujairah Light,2000002,True,False,,unknown,,2000002
72,Dht Opal,9455662,Cameroon Prosperity,9315159,Sohar Light.,2026-06-28 21:58:00,2026-07-02 09:12:00,2120131,287861,Crude,Zakum,391354307,Gulf of Oman,DHT OPAL,CAMEROON PROSPERITY,Sohar Light.,Sohar Light,2120131,True,True,,unknown,,2120131
73,Guyana Prosperity,9728693,Kiara M,9285823,Sohar Light.,2026-06-28 20:59:00,2026-07-02 18:17:00,2004373,283297,Crude,Basrah,391352026,Gulf of Oman,GUYANA PROSPERITY,KIARA M,Sohar Light.,Sohar Light,2004373,True,False,,unknown,,2004373
75,Yuan Hua Yang,9843297,Togo Prosperity,9411032,Fujairah Light.,2026-06-27 15:18:00,2026-06-30 12:39:00,1900000,257972,Crude,Zakum,391331444,Gulf of Oman,YUAN HUA YANG,TOGO PROSPERITY,Fujairah Light.,Fujairah Light,1900000,True,False,,unknown,,1900000
76,Atlantic Pioneer,9397145,Argentina B,9389021,Sohar Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,2000002,275366,Crude,ME,391354283,Gulf of Oman,ATLANTIC PIONEER,ARGENTINA B,Sohar Light.,Sohar Light,2000002,True,True,,unknown,,2000002
77,Izki,9500924,Grand Lady,9406166,Sohar Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,1900000,268545,Crude,Basrah,392517737,Gulf of Oman,IZKI,GRAND LADY,Sohar Light.,Sohar Light,1900000,True,False,,unknown,,1900000
78,Adamantios,9905447,Dar Salwa,9534779,Fujairah Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,2089393,290663,Crude,Kuwait,391353961,Gulf of Oman,ADAMANTIOS,DAR SALWA,Fujairah Light.,Fujairah Light,2089393,True,True,,unknown,,2089393
79,Yasa Southern Cross,9534030,France C,9322281,Fujairah Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,2052742,278711,Crude,Zakum,391336847,Gulf of Oman,YASA SOUTHERN CROSS,FRANCE C,Fujairah Light.,Fujairah Light,2052742,True,False,Mina Al Fahal,hormuz_side_load,Oman,2052742
80,Xin Yue Yang,9389772,Bahrain Prosperity,9596947,Fujairah Light.,2026-06-25 10:18:00,2026-06-28 19:39:00,1990662,270282,Crude,Zakum,391127935,Gulf of Oman,XIN YUE YANG,BAHRAIN PROSPERITY,Fujairah Light.,Fujairah Light,1990662,True,True,,unknown,,1990662
81,Universal Innovator,9829370,Al Jabriyah II,9329708,Sohar Light.,2026-06-25 00:00:00,2026-06-26 00:00:00,2000002,272851,Crude,Kuwait Crude,391354384,Gulf of Oman,UNIVERSAL INNOVATOR,AL JABRIYAH II,Sohar Light.,Sohar Light,2000002,True,False,,unknown,,2000002
82,Dht Stallion,9813448,Rotterdam Energy,9508859,Sohar Light.,2026-06-24 00:00:00,2026-06-26 00:00:00,1986831,269762,Crude,Zakum,391343294,Gulf of Oman,DHT STALLION,ROTTERDAM ENERGY,Sohar Light.,Sohar Light,1986831,True,True,,unknown,,1986831
83,Mardan,9360453,Ocean Loyalty,9375238,Fujairah Light.,2026-06-23 10:18:00,2026-06-23 13:54:00,563114,73144,Crude,Umm Lulu,391077821,Gulf of Oman,MARDAN,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,563114,False,False,FOTT,hormuz_side_load,,563114
85,Nissos Keros,9856074,Al Siddeeq,9853486,Sohar Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,2128352,296083,Crude,Kuwait,391047963,Gulf of Oman,NISSOS KEROS,AL SIDDEEQ,Sohar Light.,Sohar Light,2128352,True,True,Oman,hormuz_side_load,Oman,2128352
86,Bidbid,1085473,Fujairah Energy,9723071,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,1900000,268545,Crude,Basrah,391047743,Gulf of Oman,BIDBID,FUJAIRAH ENERGY,Fujairah Light.,Fujairah Light,1900000,True,False,,unknown,,1900000
88,Advantage Vision,9933559,Cyprus Prosperity,9595216,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,1865620,246482,Crude,Das,391047170,Gulf of Oman,ADVANTAGE VISION,CYPRUS PROSPERITY,Fujairah Light.,Fujairah Light,1865620,True,True,,unknown,,1865620
89,Maran Mira,9870800,Al Riqqa,9534808,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,2000002,278228,Crude,Kuwait,394747152,Gulf of Oman,MARAN MIRA,AL RIQQA,Fujairah Light.,Fujairah Light,2000002,True,False,Mina Al Fahal,hormuz_side_load,Oman,2000002
90,Nissos Rhenia,9845685,Al Funtas,9653408,Sohar Light.,2026-06-20 00:00:00,2026-06-21 00:00:00,2000002,278228,Crude,Kuwait,391097218,Gulf of Oman,NISSOS RHENIA,AL FUNTAS,Sohar Light.,Sohar Light,2000002,True,False,,unknown,,2000002
91,Front Surna,1087512,Cameroon Prosperity,9315159,Fujairah Light.,2026-06-18 00:00:00,2026-06-19 00:00:00,2000002,271550,Crude,Zakum,390983361,Gulf of Oman,FRONT SURNA,CAMEROON PROSPERITY,Fujairah Light.,Fujairah Light,2000002,True,False,,unknown,,2000002
