vessel_name,imo,flag,fleet,afra_class,dwt,controller,charterer,seller,loading_port,grade,loading_date,volume_bbl,last_enter,last_exit,in_out,days_since_enter,last_loading_state,trade_status,discharged,stuck_risk,exit_candidate,last_crossing_type,n_enter,n_exit
NOBLE,9162928,GUINEA,dark fleet,LR1,47198,,,"SOC,SOMO",Al Basrah,Basrah,2026-07-27 19:41:00,2124949.0,,2026-03-18,out,,ballast,Scheduled,,False,False,Dark/Unknown Route,0,1
IMPALAS,9171448,SAO TOME AND PRINCIPE,dark fleet,VLCC,299167,,,NIOC,Kharg Island,Iran,2026-06-22 23:59:00,2003612.0,2026-06-18,2026-06-25,out,26.0,laden,In Transit,,False,False,Iranian Route,1,2
STARK I,9171450,IRAN,dark fleet,LR2,159681,,,,,,,,,2026-03-05,out,,laden,,EOPL,False,False,Dark/Unknown Route,0,1
SINOPA,9172038,IRAN,dark fleet,LR2,159681,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-11 00:00:00,1032679.0,2026-07-02,2026-07-14,out,12.0,laden,Delivered,Dongjiakou Oil Terminal,False,False,Dark/Unknown Route,2,2
SILVIA I,9172052,IRAN,dark fleet,LR2,159711,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-16 00:00:00,1032679.0,2026-04-12,2026-06-01,out,93.0,laden,In Transit,,False,False,Dark/Unknown Route,1,2
HELGA,9176993,COMOROS,clean fleet,VLCC,298620,,,SOMO,Al Basrah,Basrah,2026-07-21 07:41:00,1459997.0,2026-06-02,2026-06-15,out,42.0,ballast,Scheduled,,False,False,Dark/Unknown Route,2,2
DESTINY,9177155,IRAN,dark fleet,VLCC,281050,,,,,,,,2026-03-05,,in,131.0,ballast,,South Pars,True,False,Dark/Unknown Route,1,0
KATSUYA,9178068,GAMBIA,dark fleet,LR1,47053,,,,Iran,Iran,2026-06-26 00:00:00,326233.0,,2026-07-01,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
SULLANA,9180152,CURACAO,dark fleet,VLCC,306397,,,NIOC,Jask Oil Terminal,Iran,2026-07-11 05:35:00,2052012.0,2026-03-27,2026-04-09,out,109.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
HUMANITY,9180281,IRAN,dark fleet,VLCC,299990,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-07-08 00:00:00,1941494.0,2026-07-01,2026-07-12,out,13.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
FELIX,9181194,GABON,dark fleet,VLCC,308491,,,NIOC,Jask Oil Terminal,Iran,2026-03-23 00:00:00,2009185.0,2026-07-08,,in,6.0,ballast,Delivered,Dongjiakou Oil Terminal,False,False,Iranian Route,1,0
FELICITY,9183934,IRAN,dark fleet,VLCC,299990,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-25 00:00:00,2009122.0,2026-04-22,2026-06-19,out,83.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
ARGO I,9187667,IRAN,dark fleet,AFRA,99094,,,,,,,,2026-03-30,,in,106.0,ballast,,Iran,True,False,Dark/Unknown Route,1,0
KYLO,9189146,COMOROS,dark fleet,VLCC,160573,,,NIOC,Kharg Island,Iran,2026-03-28 00:00:00,1036070.0,,2026-04-01,out,,laden,Delivered,Dongjiakou Oil Terminal,False,False,Iranian Route,0,1
DIVIT,9194139,COMOROS,dark fleet,AFRA,99123,,,NIOC,Kharg Island,Iran,2026-04-03 00:00:00,664549.0,2026-03-30,2026-04-05,out,106.0,laden,Delivered,Dongying,False,False,Iranian Route,1,1
ELVA,9196644,GAMBIA,dark fleet,VLCC,298465,,,NIOC,Kharg Island,Iran,2026-05-06 00:00:00,2007462.0,2026-05-03,2026-06-22,out,72.0,laden,In Transit,,False,False,Iranian Route,1,1
ANDROMEDA V,9197832,CURACAO,dark fleet,VLCC,281037,,,NIOC,Kharg Island,Iran,2026-03-01 00:00:00,1941249.0,,2026-04-03,out,,laden,Delivered,EOPL,False,False,Dark/Unknown Route,0,1
HORNET,9197844,BENIN,dark fleet,VLCC,281050,,,NIOC,Kharg Island,Iran,2026-06-29 00:00:00,1494251.0,2026-06-22,2026-07-03,out,22.0,laden,In Transit,,False,False,Iranian Route,1,1
ARHIMEDA,9197909,MALAWI,dark fleet,VLCC,309498,,,NIOC,Kharg Island,Iran,2026-04-20 00:00:00,2000002.0,2026-04-09,,in,96.0,ballast,In Transit,,True,True,Iranian Route,1,0
LEXIE,9203277,BOTSWANA,dark fleet,VLCC,298911,,,,,,,,2026-06-01,,in,43.0,ballast,,,True,False,Dark/Unknown Route,1,0
RHN,9208215,CURACAO,dark fleet,VLCC,298920,,,,,,,,2026-04-15,,in,90.0,ballast,,,True,False,Iranian Route,1,0
OLYM,9212759,GUYANA,dark fleet,VLCC,160383,,,NIOC,Kharg Island,Iran,2026-03-29 00:00:00,1074614.0,2026-07-12,2026-04-04,in,2.0,ballast,Delivered,EOPL,False,False,Dark/Unknown Route,2,1
HEDY,9212888,IRAN,dark fleet,VLCC,299242,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-08 00:00:00,2000002.0,,2026-03-18,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
HALTI,9212890,IRAN,dark fleet,VLCC,299261,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-06-30 00:00:00,2034200.0,2026-06-25,2026-07-04,out,19.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
HAPPINESS I,9212905,IRAN,dark fleet,VLCC,299214,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-13 00:00:00,2034200.0,2026-04-05,2026-06-01,out,100.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
HASNA,9212917,IRAN,dark fleet,VLCC,299229,,,,,,,,2026-07-02,2026-03-10,in,12.0,ballast,,,True,False,Dark/Unknown Route,1,1
HENNA,9212929,IRAN,dark fleet,VLCC,299242,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-06 00:00:00,2034200.0,,2026-04-02,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
VENTURA,9216559,GUYANA,dark fleet,LR1,68467,,,,,,,,2026-07-07,,in,7.0,ballast,,Bandar Mahshahr,False,False,Dark/Unknown Route,1,0
DEVON,9218454,IRAN,dark fleet,VLCC,299500,,,,,,,,2026-04-01,,in,104.0,ballast,,,True,False,Dark/Unknown Route,1,0
DOVER,9218466,IRAN,dark fleet,VLCC,296977,NIOC,NIOC,NIOC,FPSO Soroosh,Soroosh,2026-03-15 00:00:00,1600002.0,2026-03-01,,in,135.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
DIAMOND II,9218478,IRAN,dark fleet,VLCC,296977,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-29 00:00:00,2038458.0,2026-03-23,2026-04-02,out,113.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
DOWNY,9218480,IRAN,dark fleet,VLCC,296977,,,,,,,,2026-07-06,,in,8.0,ballast,,,False,False,Iranian Route,1,0
DEEP SEA,9218492,IRAN,dark fleet,VLCC,296977,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-03 00:00:00,2000002.0,2026-04-01,2026-04-15,out,104.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
SOBAR,9221970,IRAN,dark fleet,VLCC,160183,,,,,,,,2026-06-23,,in,21.0,ballast,,,True,False,Iranian Route,1,0
NICHOLA,9224271,GUYANA,dark fleet,VLCC,160288,,,NIOC,Kharg Island,Iran,2026-06-26 00:00:00,1036252.0,2026-06-22,2026-06-30,out,22.0,laden,In Transit,,False,False,Iranian Route,1,1
PHOEBEII,9226011,GUYANA,dark fleet,LR1,47084,,,NIOC,Kharg Island,Iran,2026-05-22 00:00:00,326088.0,,2026-06-08,out,,laden,In Transit,,False,False,Iranian Route,0,1
SARAK,9226968,IRAN,dark fleet,LR2,159885,,,,,,,,2026-06-23,,in,21.0,ballast,,,True,False,Iranian Route,1,0
LUCIA A,9228655,SAN MARINO,clean fleet,LR2,159997,,,SOMO,Al Basrah,Basrah,2026-07-22 10:41:00,960001.0,2026-06-15,2026-06-23,out,29.0,ballast,Scheduled,,False,False,Dark/Unknown Route,1,1
TIYARA,9231224,NICARAGUA,dark fleet,AFRA,112679,,,NIOC,Kharg Island,Iran,2026-03-30 00:00:00,755286.0,2026-03-27,2026-04-03,out,109.0,laden,Delivered,China,False,False,Dark/Unknown Route,1,1
PING SHUN,9231901,ESWATINI,dark fleet,AFRA,112668,,,NIOC,Kharg Island,Iran,2026-03-05 00:00:00,603475.0,,2026-03-18,out,,laden,Delivered,Dongying,False,False,Dark/Unknown Route,0,1
ATILA,9233753,GUYANA,dark fleet,VLCC,309064,,,NIOC,Kharg Island,Iran,2026-07-03 00:00:00,2000002.0,2026-06-22,2026-07-06,out,22.0,laden,In Transit,,False,False,Iranian Route,1,1
NEBULA DRIFT,9233973,PALAU,dark fleet,LR1,45763,,,,,,,,2026-04-09,,in,96.0,laden,,Iran,True,True,Dark/Unknown Route,1,0
COBA,9235737,CURACAO,dark fleet,VLCC,319360,,,NIOC,Kharg Island,Iran,2026-04-11 00:00:00,2000002.0,2026-03-29,,in,107.0,ballast,In Transit,,True,True,Iranian Route,1,0
VIRGO,9236250,BOTSWANA,dark fleet,VLCC,305796,,,NIOC,Kharg Island,Iran,2026-04-25 00:00:00,2047993.0,2026-04-21,2026-06-22,out,84.0,laden,In Transit,,False,False,Iranian Route,1,1
NORA,9237539,GUYANA,dark fleet,VLCC,298414,,,NIOC,Kharg Island,Iran,2026-03-08 00:00:00,2005078.0,,2026-03-15,out,,laden,In Transit,,False,False,Iranian Route,0,1
TIMA,9237797,GUYANA,dark fleet,VLCC,317000,,,,,,,,2026-07-08,,in,6.0,ballast,,,False,False,Iranian Route,1,0
NORDIC POLLUX,9239848,CAYMAN ISLANDS,clean fleet,LR2,150103,BPC,BPC,Aramco,Juaymah,Arab Lt.,2026-03-03 11:39:00,735002.0,2026-03-01,2026-06-21,out,135.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
DAFFODIL,9239927,SAUDI ARABIA,clean fleet,AFRA,99999,,,KPC,MAA Refinery,Kuwait SLt.,2026-04-20 19:19:00,678003.0,,2026-06-21,out,,ballast,Delivered,ENOC Condensate Refinery,False,False,Dark/Unknown Route,0,1
YOKO 1,9241085,PANAMA,clean fleet,LR1,46684,,,,,,,,2026-07-10,,in,4.0,ballast,,Khor Al Zubair Port,False,False,Iranian Route,1,0
AMAK,9244635,MADAGASCAR,dark fleet,VLCC,300405,,,NIOC,Kharg Island,Iran,2026-06-28 00:00:00,2071366.0,2026-06-24,2026-06-30,out,20.0,laden,In Transit,,False,False,IMO Route,1,1
ANABEL,9246279,GAMBIA,dark fleet,VLCC,299997,,,NIOC,Kharg Island,Iran,2026-03-23 00:00:00,2000002.0,2026-07-14,2026-03-27,in,0.0,ballast,In Transit,,False,True,Iranian Route,2,1
SWIFT FALCON,9246803,PANAMA,dark fleet,LR1,46308,,,,,,,,2026-07-04,2026-05-14,in,10.0,laden,,Hamriya,True,True,Iranian Route,1,1
BREEZ,9247778,COMOROS,dark fleet,LR1,47038,,,,,,,,2026-06-21,2026-06-02,in,23.0,ballast,,,True,False,Dark/Unknown Route,2,1
TAWANNA,9247780,CURACAO,dark fleet,AFRA,106500,,,NIOC,Kharg Island,Iran,2026-02-28 00:00:00,720988.0,,2026-03-29,out,,laden,Delivered,China,False,False,Iranian Route,0,1
AVA 10,9247986,COMOROS,dark fleet,AFRA,105674,,,,,,,,2026-05-28,,in,47.0,ballast,,Bandar Mahshahr,True,False,Dark/Unknown Route,1,0
AQUA,9248473,MALAWI,dark fleet,VLCC,299152,,,NIOC,Kharg Island,Iran,2026-04-13 00:00:00,2000002.0,2026-04-05,,in,100.0,ballast,In Transit,,True,True,Iranian Route,1,0
URI,9248497,COMOROS,dark fleet,VLCC,299164,,,NIOC,Kharg Island,Iran,2026-04-11 00:00:00,2000002.0,2026-04-08,2026-06-21,out,97.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
LOANNA,9251884,CURACAO,dark fleet,LR1,46764,,,,,,,,2026-03-01,,in,135.0,ballast,,,True,False,Dark/Unknown Route,1,0
MARAL,9251896,CURACAO,dark fleet,LR1,46764,,,,,,,,2026-07-11,2026-04-20,in,3.0,laden,,,False,True,Iranian Route,1,1
FAROG,9252072,CURACAO,dark fleet,LR1,47355,,,,,,,,2026-03-01,,in,135.0,ballast,,,True,False,Dark/Unknown Route,1,0
SCALER,9254915,MOZAMBIQUE,dark fleet,AFRA,106449,,,NIOC,Kharg Island,Iran,2026-06-09 00:00:00,713585.0,2026-06-06,2026-07-11,out,38.0,laden,In Transit,,False,False,IMO Route,1,1
ATLANTIS II,9257503,IRAN,dark fleet,LR1,73004,,,,,,,,2026-04-30,2026-04-22,in,75.0,ballast,,Bandar Abbas,True,False,Iranian Route,1,1
ASHLEY,9258466,ANTIGUA AND BARBUDA,clean fleet,LR1,68524,,,,,,,,2026-06-30,2026-06-20,in,14.0,ballast,,Khor Al Zubair Light.,True,False,Dark/Unknown Route,1,1
LAUREN II,9258521,PANAMA,dark fleet,VLCC,298564,,,NIOC,Kharg Island,Iran,2026-06-21 00:00:00,2090462.0,2026-06-18,,in,26.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
UMA,9258870,GUYANA,dark fleet,AFRA,114761,,,NIOC,FPSO Soroosh,Soroosh,2026-04-27 00:00:00,751324.0,2026-03-31,,in,105.0,ballast,In Transit,,True,True,Iranian Route,1,0
LENORE,9259367,CURACAO,dark fleet,VLCC,300976,,,NIOC,Kharg Island,Iran,2026-03-22 00:00:00,2011726.0,,2026-03-23,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
VIGOR,9262156,BOTSWANA,dark fleet,VLCC,299984,,,NIOC,Kharg Island,Iran,2026-04-30 00:00:00,2070699.0,2026-04-28,2026-06-22,out,77.0,laden,In Transit,,False,False,Iranian Route,1,1
BERG 1,9262168,BENIN,dark fleet,VLCC,299984,,,NIOC,Kharg Island,Iran,2026-07-03 00:00:00,2070699.0,2026-06-30,2026-07-09,out,14.0,laden,In Transit,,False,False,Iranian Route,1,2
ALBA,9268112,MOZAMBIQUE,dark fleet,AFRA,106360,,,NIOC,Kharg Island,Iran,2026-06-26 00:00:00,708842.0,2026-05-16,2026-06-30,out,59.0,laden,In Transit,,False,False,Omani Route,1,1
SOUFIA 1,9273052,MOZAMBIQUE,dark fleet,AFRA,105850,,,NIOC,Kharg Island,Iran,2026-05-02 00:00:00,709578.0,2026-04-19,2026-07-06,out,86.0,laden,In Transit,Eastern Asia,False,False,Iranian Route,1,1
TIFANI,9273337,PALAU,dark fleet,VLCC,299999,,,NIOC,Kharg Island,Iran,2026-04-06 00:00:00,2000002.0,2026-04-02,2026-04-09,out,103.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
SEAWAY,9273650,PANAMA,clean fleet,LR1,46101,,,,,,,,2026-07-01,2026-06-22,in,13.0,ballast,,Sohar,True,False,Iranian Route,3,3
EPIK,9273832,PANAMA,clean fleet,LR1,46719,,,,,,,,2026-06-24,2026-04-12,in,20.0,ballast,,Hamriya,True,False,IMO Route,2,1
FABULE,9276573,MALAWI,dark fleet,AFRA,103622,,,NIOC,Kharg Island,Iran,2026-03-14 00:00:00,694665.0,2026-02-28,2026-03-22,out,136.0,laden,Delivered,Dalian Changxing Oil Terminal,False,False,Dark/Unknown Route,1,1
DING XIANG,9280366,CURACAO,dark fleet,LR1,71024,,,,,,,,2026-07-03,2026-07-10,out,11.0,laden,,,False,False,IMO Route,1,1
LOUIZA,9281554,CURACAO,dark fleet,LR1,45557,,,,,,,,2026-06-19,2026-06-04,in,25.0,ballast,,Assaluyeh,True,False,Iranian Route,3,2
BLAZE,9281566,PALAU,clean fleet,LR1,45592,,,,,,,,2026-06-27,2026-04-18,in,17.0,ballast,,Iran,True,False,Omani Route,1,1
ALICIA,9281695,CURACAO,dark fleet,VLCC,281396,,,,,,,,2026-04-14,,in,91.0,ballast,,,True,False,Iranian Route,1,0
KAVIZ,9282041,COMOROS,dark fleet,AFRA,115390,,,NIOC,Kharg Island,Iran,2026-05-06 00:00:00,779772.0,2026-04-28,,in,77.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
KUSH,9282522,COMOROS,dark fleet,LR1,46866,,,,,,,,2026-03-30,2026-03-25,in,106.0,ballast,,,True,False,Dark/Unknown Route,1,1
OCEAN LILY,9284960,HONG KONG,clean fleet,VLCC,299170,Sinochem,Sinochem,"QatarEnergy,TotalEnergies",FSO Qatar Petroleum Al Shaheen II,Shaheen,2026-03-01 12:19:00,1051775.0,,2026-05-19,out,,laden,Delivered,Quanzhou Refinery,False,False,Iranian Route,0,1
KIARA M,9285823,SAN MARINO,clean fleet,VLCC,319247,,,SOMO,Al Basrah,Basrah Hy.,2026-07-09 00:56:00,1917266.0,2026-07-04,2026-06-26,in,10.0,ballast,In Transit,,True,True,Dark/Unknown Route,4,3
LAN JING,9288095,CURACAO,dark fleet,VLCC,298972,,,NIOC,Kharg Island,Iran,2026-02-28 00:00:00,2011726.0,2026-06-26,2026-03-11,in,18.0,ballast,Delivered,Dongjiakou Oil Terminal,True,False,Dark/Unknown Route,1,1
BELMA,9289491,CURACAO,dark fleet,ULCC,320821,,,,,,,,2026-07-14,,in,0.0,ballast,,,False,False,Iranian Route,1,0
MADESTAR,9289726,CAMEROON,dark fleet,VLCC,319180,,,,,,,,2026-07-11,,in,3.0,ballast,,,False,False,Iranian Route,1,0
WORLD COURAGE,9289740,CURACAO,dark fleet,LR1,46992,,,,,,,,2026-03-13,,in,123.0,ballast,,,True,False,Dark/Unknown Route,1,0
NEW VOYAGE,9290579,BAHAMAS,clean fleet,LR1,46187,,,ADNOC,ADCOP Fujairah,Murban,2026-06-19 03:39:00,631578.0,2026-07-06,2026-07-11,out,8.0,laden,Delivered,ExxonMobil PAC Refinery,False,False,Dark/Unknown Route,2,3
VICTORY ARI,9290919,ANTIGUA AND BARBUDA,dark fleet,LR1,47120,,,NIOC,Kharg Island,Iran,2026-05-22 00:00:00,326327.0,2026-05-16,2026-06-25,out,59.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
GOLDCREST,9292486,MOZAMBIQUE,dark fleet,VLCC,306998,,,NIOC,Kharg Island,Iran,2026-06-05 00:00:00,2065177.0,2026-05-30,,in,45.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
TITAN,9293143,CURACAO,dark fleet,LR2,159195,,,NIOC,Kharg Island,Iran,2026-04-28 00:00:00,1066657.0,2026-04-24,2026-06-22,out,81.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
BENEDICT,9293155,CAMEROON,dark fleet,AFRA,106062,,,,,,,,2026-07-14,,in,0.0,ballast,,Khor Al Zubair Port,False,False,Iranian Route,1,0
VIVIAN,9293741,BOTSWANA,dark fleet,VLCC,299097,,,,,,,,,2026-03-18,out,,laden,,,False,False,Dark/Unknown Route,0,1
FELICITY,9297436,NORWAY,clean fleet,LR1,70955,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-25 00:00:00,2009122.0,2026-06-29,,in,15.0,ballast,In Transit,,True,True,Iranian Route,2,0
DESH VAIBHAV,9297498,INDIA,clean fleet,VLCC,316409,,,,,,,,,2026-06-19,out,,laden,,Vadinar,False,False,Iranian Route,0,1
ELKA APOLLON,9299111,LIBERIA,clean fleet,AFRA,101970,,,,,,,,2026-02-28,,in,136.0,ballast,,Jebel Ali,True,False,IMO Route,1,0
SHEN ZHOU,9300996,CURACAO,dark fleet,LR1,51303,,,,,,,,2026-06-29,,in,15.0,ballast,,Khor Al Zubair Port,True,False,Iranian Route,1,0
PEACE GULF,9304588,PANAMA,clean fleet,LR1,49999,,,,,,,,2026-05-11,2026-04-25,in,64.0,ballast,,Hamriya,True,False,Iranian Route,2,1
MINERVA DOXA,9304617,GREECE,clean fleet,LR2,159438,TotalEnergies,TotalEnergies,TotalEnergies,Umm Lulu,Umm Lulu,2026-03-02 19:37:00,799994.0,2026-02-28,2026-05-31,out,136.0,laden,Delivered,IndianOil Vadinar SMPL,False,False,Dark/Unknown Route,1,1
MUSIK,9305051,BAHAMAS,clean fleet,LR1,46792,,,,,,,,2026-07-03,2026-06-16,in,11.0,ballast,,Bandar Mahshahr,True,False,Iranian Route,3,3
CELE,9306469,BARBADOS,clean fleet,LR1,46720,,,,,,,,2026-05-12,,in,63.0,laden,,,True,True,Dark/Unknown Route,1,0
AMIL,9308778,MOZAMBIQUE,dark fleet,LR1,47999,,,NIOC,Kharg Island,Iran,2026-06-06 01:16:00,332158.0,2026-06-01,,in,43.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
MONACO LOYALTY,9312511,MARSHALL ISLANDS,clean fleet,VLCC,307284,,,QatarEnergy,FSO Qatar Petroleum Al Shaheen I,Shaheen,2026-06-01 12:54:00,2057944.0,,2026-06-21,out,,laden,Delivered,Linggi Light.,False,False,Dark/Unknown Route,0,1
STELLA,9313761,NORWAY,clean fleet,LR1,45737,,,,,,,,2026-06-19,2026-05-10,in,25.0,ballast,,Khor Al Zubair Port,True,False,Iranian Route,1,1
ECUADOR PROSPERITY,9315147,LIBERIA,clean fleet,VLCC,317826,,,SOMO,Al Basrah,Basrah Hy.,2026-07-06 09:57:00,1960049.0,2026-06-29,,in,15.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
CAMEROON PROSPERITY,9315159,LIBERIA,clean fleet,VLCC,317713,PTT,PTT,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-07-04 14:39:00,2000002.0,2026-07-03,2026-06-27,in,11.0,ballast,In Transit,,True,True,Omani Route,5,4
ROMANIA PROSPERITY,9315161,LIBERIA,clean fleet,VLCC,317794,Trafigura,Trafigura,ADNOC,Jebel Dhanna,Murban,2026-07-15 00:00:00,2000002.0,2026-06-14,2026-06-07,in,30.0,ballast,In Transit,,True,True,Dark/Unknown Route,3,2
TOWADA,9321213,JAPAN,clean fleet,VLCC,305801,Idemitsu,Idemitsu,Aramco,Ras Tanura,Arab XLt.,2026-03-04 07:37:00,699999.0,,2026-07-07,out,,laden,In Transit,Nagoya,False,False,Dark/Unknown Route,0,1
FRANCE C,9322281,LIBERIA,clean fleet,VLCC,306506,ExxonMobil,ExxonMobil,ExxonMobil,Zirku,Zakum,2026-06-12 00:00:00,2052742.0,2026-06-27,2026-07-01,out,17.0,laden,In Transit,Oita,False,False,Omani Route,3,3
LILA VADINAR,9324100,INDIA,clean fleet,VLCC,302478,IOC,IOC,"SOC,SOMO",Al Basrah,Basrah,2026-07-26 13:41:00,2107979.0,2026-06-26,2026-07-08,out,18.0,ballast,Scheduled,Paradip,False,False,Dark/Unknown Route,1,1
TRONE,9326067,COMOROS,dark fleet,VLCC,298000,,,NIOC,Kharg Island,Iran,2026-07-12 00:00:00,2000002.0,2026-07-06,2026-07-14,out,8.0,laden,In Transit,,False,False,Iranian Route,1,1
BAHAMAS PROSPERITY,9327114,LIBERIA,clean fleet,VLCC,300246,,,,,,,,2026-07-02,,in,12.0,ballast,,Dubai Area,True,False,Dark/Unknown Route,1,0
SKYWAVE,9328716,BOTSWANA,dark fleet,VLCC,302481,,,NIOC,Kharg Island,Iran,2026-03-05 00:00:00,1999499.0,,2026-03-11,out,,laden,Delivered,Yantai,False,False,Iranian Route,0,1
KAZIMAH III,9329693,KUWAIT,clean fleet,VLCC,317250,KPC,KPC,KPC,Mina Al-Ahmadi,Kuwait,2026-05-31 00:00:00,2000002.0,2026-05-25,,in,50.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
AL JABRIYAH II,9329708,KUWAIT,clean fleet,VLCC,317570,KPC,KPC,KPC,Mina Al-Ahmadi,Kuwait,2026-07-03 00:00:00,2119181.0,2026-06-27,2026-07-05,out,17.0,laden,In Transit,China,False,False,Dark/Unknown Route,2,2
KIKU,9329796,PANAMA,clean fleet,VLCC,300866,,,"QatarEnergy,TotalEnergies",FSO Qatar Petroleum Al Shaheen II,Shaheen,2026-06-26 11:38:00,1198473.0,2026-07-12,2026-06-27,in,2.0,ballast,In Transit,Ningbo,False,True,Dark/Unknown Route,2,1
KASHIMASAN,9329863,INDIA,clean fleet,VLCC,306033,IOC,IOC,ADNOC,ADCOP Fujairah,Murban,2026-06-26 22:58:00,888177.0,,2026-02-28,out,,laden,Delivered,Kochi Refinery,False,False,IMO Route,0,1
SANMAR HERALD,9330563,INDIA,clean fleet,VLCC,309000,IOC,IOC,SOMO,Al Basrah,Basrah Hy.,2026-03-04 11:59:00,1000142.0,,2026-06-20,out,,laden,In Transit,Mumbai,False,False,Dark/Unknown Route,0,1
NATSUMI,9331244,BARBADOS,clean fleet,VLCC,299235,,,,,,,,2026-06-26,,in,18.0,ballast,,Sharjah,True,False,Iranian Route,1,0
IDEMITSU MARU,9334210,PANAMA,clean fleet,VLCC,300433,Idemitsu,Idemitsu,Aramco,Juaymah,Arab XLt.,2026-03-06 01:39:00,1300003.0,,2026-04-28,out,,laden,Delivered,Aichi,False,False,Iranian Route,0,1
SHALAMAR,9336842,PAKISTAN,clean fleet,AFRA,105315,,,,FOTT,,2026-06-17 14:34:00,455080.0,2026-04-12,2026-04-16,out,93.0,laden,Delivered,Karachi Keamari,False,False,Iranian Route,1,2
COSPEARL LAKE,9337171,HONG KONG,clean fleet,VLCC,298195,Sinopec,Sinopec,ADNOC,ADCOP Fujairah,Murban,2026-06-11 00:00:00,897801.0,,2026-04-11,out,,laden,Delivered,Rayong IRPC Refinery,False,False,Iranian Route,0,1
TORKEL,9340635,HONG KONG,clean fleet,VLCC,297259,,,,,,,,2026-07-08,,in,6.0,ballast,,,False,False,Dark/Unknown Route,1,0
TENJUN,9343390,PANAMA,clean fleet,VLCC,302107,ExxonMobil,ExxonMobil,QatarEnergy,FSO Qatar Petroleum Al Shaheen I,Shaheen,2026-02-28 05:18:00,911720.0,,2026-07-07,out,,laden,In Transit,,False,False,Iranian Route,0,1
AEGEAN NOBILITY,9345441,GREECE,clean fleet,AFRA,115814,,,,,,,,,2026-02-28,out,,laden,,Mundra,False,False,IMO Route,0,1
HUGE,9357183,IRAN,dark fleet,VLCC,317367,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-01 00:00:00,490240.0,2026-03-28,2026-04-05,out,108.0,laden,In Transit,Zhoushan,False,False,Dark/Unknown Route,1,1
SEVIN,9357353,IRAN,dark fleet,VLCC,164154,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-01 00:00:00,999998.0,2026-03-28,2026-04-09,out,108.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
SONIA I,9357365,IRAN,dark fleet,VLCC,164154,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-09 00:00:00,1104075.0,2026-04-07,2026-04-13,out,98.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
SALINA,9357377,IRAN,dark fleet,VLCC,164154,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-17 00:00:00,560346.0,2026-07-02,2026-04-01,in,12.0,ballast,Delivered,China,True,False,Iranian Route,2,1
HILDA I,9357389,IRAN,dark fleet,VLCC,317367,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-16 00:00:00,2000002.0,2026-04-10,2026-06-01,out,95.0,laden,In Transit,,False,False,Dark/Unknown Route,1,2
HELM,9357391,IRAN,dark fleet,VLCC,317356,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-07-04 00:00:00,2126465.0,2026-06-26,2026-07-07,out,18.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
