vessel_name,imo,flag,fleet,afra_class,dwt,controller,charterer,seller,loading_port,grade,loading_date,volume_bbl,last_enter,last_exit,in_out,days_since_enter,last_loading_state,trade_status,discharged,stuck_risk,exit_candidate,last_crossing_type,n_enter,n_exit
MOMBASA B,9739501,LIBERIA,clean fleet,VLCC,299392,ADNOC,ADNOC,ADNOC,Zirku,Zakum,2026-07-01 22:59:00,2002700.0,2026-06-29,2026-07-03,out,15.0,laden,In Transit,Made Island,False,False,Omani Route,4,4
FIJI PROSPERITY,9740330,LIBERIA,clean fleet,VLCC,297638,,,,,,,,,2026-02-28,out,,laden,,Zhoushan,False,False,IMO Route,0,1
PRUDENT WARRIOR,9753545,GREECE,clean fleet,LR2,149995,,,SOMO,Al Basrah,Basrah Med.,2026-03-02 20:39:00,1017710.0,,2026-06-24,out,,laden,In Transit,Corinth,False,False,Omani Route,0,1
AGIOS FANOURIOS I,9759824,MALTA,clean fleet,VLCC,303123,GS Caltex,GS Caltex,ADNOC,ADCOP Fujairah,Murban,2026-06-22 10:58:00,799994.0,2026-04-15,2026-05-10,out,90.0,laden,In Transit,Yeosu,False,False,Iranian Route,1,1
XIN LONG YANG,9761463,SINGAPORE,clean fleet,VLCC,308375,,,,,,,,,2026-02-28,out,,laden,,Zirku,False,False,IMO Route,0,1
MARATHI,9772357,MALTA,clean fleet,LR2,149991,RIL,RIL,Aramco,Ras Tanura,Arab XLt.,2026-03-04 20:37:00,1058053.0,2026-02-28,2026-03-20,out,136.0,laden,Delivered,Jamnagar Refinery,False,False,Dark/Unknown Route,1,1
SHADEN,9779848,SAUDI ARABIA,clean fleet,VLCC,298750,,,,,,,,,2026-06-18,out,,laden,,Okinawa,False,False,Dark/Unknown Route,0,1
AMAD,9783693,SAUDI ARABIA,clean fleet,VLCC,298705,,,Aramco,Juaymah,Arab,2026-06-27 16:59:00,1999996.0,2026-06-24,2026-07-02,out,20.0,laden,In Transit,Kiire,False,False,Dark/Unknown Route,1,1
MINERVA EVROPI,9785237,GREECE,clean fleet,LR2,159055,Shell,Shell,SOMO,Al Basrah,Basrah Med.,2026-03-03 22:39:00,512801.0,,2026-05-28,out,,laden,Delivered,Milazzo Refinery,False,False,Dark/Unknown Route,0,1
MONTE URBASA,9785835,PORTUGAL,clean fleet,LR2,156400,,,Aramco,Ras Tanura,Arab XLt.,2026-02-28 09:18:00,299998.0,,2026-06-23,out,,laden,Delivered,HMEL Mundra Oil Terminal,False,False,Dark/Unknown Route,0,1
GULF SUNRISE,9788887,PANAMA,clean fleet,VLCC,301528,,,Aramco,Juaymah,Arab XLt.,2026-03-06 23:18:00,2062208.0,,2026-06-21,out,,laden,In Transit,Kiire,False,False,Dark/Unknown Route,0,1
CONGO PROSPERITY,9792266,LIBERIA,clean fleet,VLCC,300853,Suntech Ship Management Pte. Ltd,Suntech Ship Management Pte. Ltd,SOMO,Al Basrah,Basrah Med.,2026-07-07 08:39:00,2008676.0,2026-06-30,,in,14.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
GEM NO.5,9793741,PANAMA,clean fleet,VLCC,302650,Hyundai,Hyundai,KPC,Mina Al-Ahmadi,Kuwait,2026-03-06 13:35:00,1005445.0,,2026-07-04,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
MIRACLE HOPE,9794018,MARSHALL ISLANDS,clean fleet,VLCC,318747,,,,,,,,,2026-07-06,out,,laden,,Kiire,False,False,IMO Route,0,1
UNIVERSAL GLORY,9794824,LIBERIA,clean fleet,VLCC,301123,,,Aramco,Juaymah,Arab XLt.,2026-02-28 07:39:00,999998.0,,2026-06-23,out,,laden,In Transit,Yeosu,False,False,Iranian Route,0,1
NEW VISION,9799202,HONG KONG,clean fleet,VLCC,307434,,,,,,,,,2026-03-01,out,,laden,,Antifer,False,False,IMO Route,0,1
KASOS,9800257,LIBERIA,clean fleet,LR2,156989,,,QatarEnergy,FSO Qatar Petroleum Al Shaheen I,Shaheen,2026-04-24 00:00:00,1058053.0,2026-04-19,2026-04-26,out,86.0,laden,Delivered,Hyundai Daesan Refinery,False,False,Dark/Unknown Route,1,1
TILOS I,9800271,LIBERIA,clean fleet,LR2,149999,,,QatarEnergy,Halul Island,Qatar Land,2026-05-22 00:00:00,508883.0,2026-05-19,2026-05-23,out,56.0,laden,Delivered,Jamnagar Refinery,False,False,Dark/Unknown Route,1,1
TONEGAWA,9802188,JAPAN,clean fleet,VLCC,312667,,,Aramco,Juaymah,Arab Hy.,2026-03-02 17:40:00,1999996.0,,2026-07-07,out,,laden,In Transit,Okinawa,False,False,IMO Route,0,1
DALIA,9820324,IRAN,dark fleet,LR1,49000,,,,,,,,2026-07-02,2026-06-25,in,12.0,ballast,,Lavan,True,False,Iranian Route,4,4
PETUNIA,9820336,IRAN,dark fleet,LR1,49288,,,,,,,,2026-07-08,2026-07-02,in,6.0,ballast,,Bandar Mahshahr,False,False,Iranian Route,1,1
JARNAIN,9823546,LIBERIA,clean fleet,AFRA,114831,,,,,,,,2026-07-11,2026-07-03,in,3.0,ballast,,Ruwais,False,False,Dark/Unknown Route,3,2
MAJRA,9830812,SAUDI ARABIA,clean fleet,ULCC,320784,Rongsheng Petrochemical,Rongsheng Petrochemical,Aramco,Juaymah,Arab M,2026-03-09 20:17:00,1499994.0,,2026-06-21,out,,laden,Delivered,Zhejiang Zhoushan Refinery and Petrochemical,False,False,Dark/Unknown Route,0,1
UQAB,9830824,SAUDI ARABIA,clean fleet,VLCC,298998,Sinopec,Sinopec,Aramco,Juaymah,Arab,2026-07-02 11:38:00,1989838.0,2026-06-29,2026-07-03,out,15.0,laden,In Transit,Okinawa,False,False,Dark/Unknown Route,1,1
KHK EMPRESS,9830965,SINGAPORE,clean fleet,VLCC,314014,,,,,,,,2026-02-28,2026-02-28,out,136.0,laden,,Mangalore,False,False,IMO Route,1,1
FRONT SHANGHAI,9832262,HONG KONG,clean fleet,LR2,158006,,,,,,,,,2026-06-24,out,,laden,,Rotterdam,False,False,Dark/Unknown Route,0,1
UNIVERSAL WINNER,9837602,REPUBLIC OF KOREA,clean fleet,VLCC,299981,,,KPC,Mina Al-Ahmadi,Kuwait,2026-03-04 08:28:00,2004002.0,,2026-05-20,out,,laden,Delivered,SK Ulsan,False,False,Iranian Route,0,1
LION,9838577,LIBERIA,clean fleet,AFRA,114036,TotalEnergies,TotalEnergies,QatarEnergy,Halul Island,Qatar Mar.,2026-04-28 18:56:00,400245.0,,2026-06-22,out,,laden,In Transit,Fos,False,False,Dark/Unknown Route,0,1
MAYASAN,9839856,JAPAN,clean fleet,VLCC,312006,,,Aramco,Ras Tanura,Arab Hy.,2026-02-28 09:39:00,988997.0,,2026-07-06,out,,laden,In Transit,Tomakomai,False,False,IMO Route,0,1
YUAN GUI YANG,9843302,CHINA,clean fleet,VLCC,319702,Sinopec,Sinopec,SOMO,Al Basrah,Basrah Med.,2026-03-03 13:39:00,1850021.0,,2026-05-20,out,,laden,Delivered,Sinopec Maoming Oil Terminal,False,False,Dark/Unknown Route,0,1
DELOS,9844851,LIBERIA,clean fleet,VLCC,318575,NATIONAL SHIPPING CO OF SAUDI ARABIA BAHRI,NATIONAL SHIPPING CO OF SAUDI ARABIA BAHRI,Aramco,Juaymah,Arab,2026-07-11 14:33:00,2122031.0,2026-07-07,2026-07-13,out,7.0,laden,In Transit,Qingdao Huangdao,False,False,Dark/Unknown Route,1,1
FRONT SAMARA,9845130,MALTA,clean fleet,LR2,158018,,,SOMO,Al Basrah,Basrah Hy.,2026-02-28 21:39:00,963328.0,,2026-06-27,out,,laden,In Transit,Fos,False,False,Dark/Unknown Route,0,1
TENZAN,9851593,LIBERIA,clean fleet,VLCC,312524,,,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-03-02 13:03:00,656467.0,,2026-06-18,out,,laden,Delivered,Cosmo Sakai Refinery,False,False,Iranian Route,0,1
SEA EMERALD,9852119,GREECE,clean fleet,VLCC,300000,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-03-02 00:40:00,1799999.0,,2026-05-28,out,,laden,Delivered,Zhanjiang Terminal,False,False,Dark/Unknown Route,0,1
AL SIDDEEQ,9853486,KUWAIT,clean fleet,ULCC,323514,Kuwait Energy,Kuwait Energy,KPC,Mina Al-Ahmadi,Kuwait,2026-06-14 00:00:00,2128352.0,2026-06-08,2026-06-19,out,36.0,laden,Delivered,Sinopec Zhanjiang Zhongke Refinery,False,False,Dark/Unknown Route,1,2
QASBA,9853589,SAUDI ARABIA,clean fleet,VLCC,299499,,,Aramco,Juaymah,Arab,2026-06-27 07:59:00,1999996.0,2026-06-24,2026-07-02,out,20.0,laden,In Transit,Quanzhou,False,False,Dark/Unknown Route,1,1
DAS,9854507,LIBERIA,clean fleet,VLCC,299995,NAVIG8 ASIA PTE LTD,NAVIG8 ASIA PTE LTD,"ADNOC,Moeve,OMV,Sonatrach,TotalEnergies",Umm Lulu,Umm Lulu,2026-07-15 00:00:00,1996429.0,2026-07-12,2026-07-07,in,2.0,ballast,In Transit,,False,True,Dark/Unknown Route,5,4
ZAYNAH,9854703,SAUDI ARABIA,clean fleet,VLCC,300759,,,Aramco,Juaymah,Arab,2026-06-26 20:18:00,1999996.0,2026-06-24,2026-06-27,out,20.0,laden,In Transit,Lianyungang,False,False,Dark/Unknown Route,1,1
