load_vessel_name,load_vessel_imo,discharge_vessel_name,discharge_vessel_imo,zone_name,start,end,cargo_origin_barrels_split_by_product,cargo_origin_tons_split_by_product,closest_ancestor_product,closest_ancestor_grade,ship_to_ship_id,query_zone,load_vessel_key,discharge_vessel_key,zone_label,sts_zone,sts_volume_bbl
Nave Electron,9890989,Kiku,9329796,Fujairah Light.,2026-08-04 20:18:00,2026-08-08 08:33:00,1314532,177226,Crude,Qatar Mar.,397557737,Gulf of Oman,NAVE ELECTRON,KIKU,Fujairah Light.,Fujairah Light,1314532
Baltic Loyalty,9411953,Lucia A,9228655,Sohar Light.,2026-08-04 00:17:00,2026-08-07 00:39:00,1036258,146464,Crude,Basrah Med.,397398075,Gulf of Oman,BALTIC LOYALTY,LUCIA A,Sohar Light.,Sohar Light,1036258
Antigua I,9753363,Singapore Prosperity,9419967,Fujairah Light.,2026-08-02 18:39:00,2026-08-04 11:57:00,959592,132119,Crude,ME,397178513,Gulf of Oman,ANTIGUA I,SINGAPORE PROSPERITY,Fujairah Light.,Fujairah Light,959592
Seaking,9602916,Rotterdam Energy,9508859,Sohar Light.,2026-08-02 03:38:00,2026-08-04 13:55:00,1986831,262497,Crude,Das,397074149,Gulf of Oman,SEAKING,ROTTERDAM ENERGY,Sohar Light.,Sohar Light,1986831
Desh Abhimaan,9326809,Singapore Prosperity,9419967,Fujairah Light.,2026-08-01 22:18:00,2026-08-02 17:59:00,1040410,143246,Crude,ME,397061963,Gulf of Oman,DESH ABHIMAAN,SINGAPORE PROSPERITY,Fujairah Light.,Fujairah Light,1040410
Singapore Prosperity,9419967,Togo Prosperity,9411032,Fujairah Light.,2026-08-01 05:59:00,2026-08-02 01:55:00,2000002,275366,Crude,ME,397052472,Gulf of Oman,SINGAPORE PROSPERITY,TOGO PROSPERITY,Fujairah Light.,Fujairah Light,2000002
Tenki,9321299,Das,9854507,Sohar Light.,2026-07-31 00:00:00,2026-08-01 00:00:00,1996429,259321,Crude,Umm Lulu,397052505,Gulf of Oman,TENKI,DAS,Sohar Light.,Sohar Light,1996429
Olympus,9941661,France C,9322281,Sohar Light.,2026-07-31 00:00:00,2026-08-01 00:00:00,1999996,271549,Crude,Zakum,397052514,Gulf of Oman,OLYMPUS,FRANCE C,Sohar Light.,Sohar Light,1999996
Ajwad,9830795,Wedyan,9524970,Sohar Light.,2026-07-31 00:00:00,2026-08-01 00:00:00,2000002,272933,Crude,Arab,397052518,Gulf of Oman,AJWAD,WEDYAN,Sohar Light.,Sohar Light,2000002
Sea Ruby,9779616,Dar Salwa,9534779,Fujairah Light.,2026-07-31 00:00:00,2026-08-01 00:00:00,2083996,289912,Crude,Kuwait,397052478,Gulf of Oman,SEA RUBY,DAR SALWA,Fujairah Light.,Fujairah Light,2083996
Tony,9432036,Ocean Loyalty,9375238,Fujairah Light.,2026-07-27 00:17:00,2026-07-29 04:59:00,999998,131005,Crude,Murban,396009636,Gulf of Oman,TONY,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,999998
Desh Vishal,9371749,Nissos Heraclea,9419618,Sohar Light.,2026-07-26 02:17:00,2026-07-29 02:37:00,1959999,275467,Crude,Basrah Med.,395796788,Gulf of Oman,DESH VISHAL,NISSOS HERACLEA,Sohar Light.,Sohar Light,1959999
Vittoria,9890977,Angola B,9623685,Fujairah Light.,2026-07-26 00:00:00,2026-07-27 00:00:00,1799080,233687,Crude,Umm Lulu,395985052,Gulf of Oman,VITTORIA,ANGOLA B,Fujairah Light.,Fujairah Light,1799080
Nave Synergy,9513763,Fujairah Energy,9723071,Fujairah Light.,2026-07-26 00:00:00,2026-07-27 00:00:00,1040605,146251,Crude,Basrah Med.,395985501,Gulf of Oman,NAVE SYNERGY,FUJAIRAH ENERGY,Fujairah Light.,Fujairah Light,1040605
Nave Synergy,9513763,Fujairah Energy,9723071,Fujairah Light.,2026-07-26 00:00:00,2026-07-27 00:00:00,1009395,139618,Crude,Fateh,395985501,Gulf of Oman,NAVE SYNERGY,FUJAIRAH ENERGY,Fujairah Light.,Fujairah Light,1009395
Nave Quasar,9514559,Al Bahyah,9937799,Fujairah Light.,2026-07-26 00:00:00,2026-07-27 00:00:00,1796810,237391,Crude,Das,395985485,Gulf of Oman,NAVE QUASAR,AL BAHYAH,Fujairah Light.,Fujairah Light,1796810
Ocean Loyalty,9375238,Romania Prosperity,9315161,Fujairah Light.,2026-07-26 00:00:00,2026-07-27 00:00:00,2000002,262011,Crude,Murban,395980442,Gulf of Oman,OCEAN LOYALTY,ROMANIA PROSPERITY,Fujairah Light.,Fujairah Light,2000002
Monte Urbasa,9785835,Nissos Kea,9920758,Fujairah Light.,2026-07-25 18:39:00,2026-07-27 16:18:00,1067997,146411,Crude,Qatar Crude,395737783,Gulf of Oman,MONTE URBASA,NISSOS KEA,Fujairah Light.,Fujairah Light,1067997
Mount Fuji,9509011,Nissos Kea,9920758,Fujairah Light.,2026-07-24 02:58:00,2026-07-25 15:25:00,980009,134349,Crude,Qatar Crude,395428353,Gulf of Oman,MOUNT FUJI,NISSOS KEA,Fujairah Light.,Fujairah Light,980009
Odessa,9633458,Gulf Loyalty,9441245,Fujairah Light.,2026-07-22 03:19:00,2026-07-23 20:39:00,888555,117394,Crude,Das,395046910,Gulf of Oman,ODESSA,GULF LOYALTY,Fujairah Light.,Fujairah Light,888555
Baltic Loyalty,9411953,Kiara M,9285823,Sohar Light.,2026-07-22 02:37:00,2026-07-26 05:17:00,999998,141339,Crude,Basrah Hy.,395035424,Gulf of Oman,BALTIC LOYALTY,KIARA M,Sohar Light.,Sohar Light,999998
Shalamar,9336842,Ocean Loyalty,9375238,Fujairah Light.,2026-07-21 05:39:00,2026-07-22 17:55:00,699615,92432,Crude,Das,394901948,Gulf of Oman,SHALAMAR,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,699615
Front Silkeborg,9832274,Gulf Loyalty,9441245,Fujairah Light.,2026-07-20 06:18:00,2026-07-21 15:01:00,1011445,133630,Crude,Das,394735861,Gulf of Oman,FRONT SILKEBORG,GULF LOYALTY,Fujairah Light.,Fujairah Light,1011445
Sea Leopard,9422615,Al Kout,9653434,Sohar Light.,2026-07-20 00:00:00,2026-07-21 00:00:00,2000002,278228,Crude,Kuwait,395052090,Gulf of Oman,SEA LEOPARD,AL KOUT,Sohar Light.,Sohar Light,2000002
Maran Atalanta,9810393,Umm Al Aish,9534781,Fujairah Light.,2026-07-20 00:00:00,2026-07-21 00:00:00,2000002,278228,Crude,Kuwait,395068289,Gulf of Oman,MARAN ATALANTA,UMM AL AISH,Fujairah Light.,Fujairah Light,2000002
Mardan,9360453,Ocean Loyalty,9375238,Fujairah Light.,2026-07-18 15:39:00,2026-07-19 06:51:00,599997,79270,Crude,Das,394449199,Gulf of Oman,MARDAN,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,599997
Aristotelis II,1097775,Al Derwazah,9653410,Sohar Light.,2026-07-18 00:00:00,2026-07-19 00:00:00,2042483,284137,Crude,Kuwait,394693995,Gulf of Oman,ARISTOTELIS II,AL DERWAZAH,Sohar Light.,Sohar Light,2042483
Seaking,9602916,Angola B,9623685,Sohar Light.,2026-07-17 00:00:00,2026-07-18 00:00:00,2000002,275366,Crude,ME,394694003,Gulf of Oman,SEAKING,ANGOLA B,Sohar Light.,Sohar Light,2000002
Marine Hope,9794006,Al Funtas,9653408,Fujairah Light.,2026-07-15 00:00:00,2026-07-16 00:00:00,1999996,275365,Crude,ME,394694011,Gulf of Oman,MARINE HOPE,AL FUNTAS,Fujairah Light.,Fujairah Light,1999996
Resilient Warrior,9856359,Malaysia Prosperity,9395305,Sohar Light.,2026-07-14 16:16:00,2026-07-16 04:37:00,1000004,132119,Crude,Das,393827062,Gulf of Oman,RESILIENT WARRIOR,MALAYSIA PROSPERITY,Sohar Light.,Sohar Light,1000004
Tosa,9343388,Nissos Heraclea,9419618,Sohar Light.,2026-07-12 06:18:00,2026-07-15 23:59:00,2011726,284017,Crude,Shaheen,393419507,Gulf of Oman,TOSA,NISSOS HERACLEA,Sohar Light.,Sohar Light,2011726
Pissiotis,9509023,Malaysia Prosperity,9395305,Sohar Light.,2026-07-12 02:19:00,2026-07-13 19:19:00,999998,137682,Crude,ME,393368806,Gulf of Oman,PISSIOTIS,MALAYSIA PROSPERITY,Sohar Light.,Sohar Light,999998
Universal Frontier,9829382,Vadin,9324100,Sohar Light.,2026-07-11 10:19:00,2026-07-14 18:38:00,2051736,285425,Crude,Kuwait,393285546,Gulf of Oman,UNIVERSAL FRONTIER,VADIN,Sohar Light.,Sohar Light,2051736
Dht Osprey,9734111,Cyprus Prosperity,9595216,Fujairah Light.,2026-07-11 04:19:00,2026-07-14 19:19:00,2071505,273684,Crude,Das,393252402,Gulf of Oman,DHT OSPREY,CYPRUS PROSPERITY,Fujairah Light.,Fujairah Light,2071505
Captain A Stellatos,9439670,Ocean Loyalty,9375238,Sohar Light.,2026-07-11 01:39:00,2026-07-12 13:58:00,709572,93747,Crude,Das,393204194,Gulf of Oman,CAPTAIN A STELLATOS,OCEAN LOYALTY,Sohar Light.,Sohar Light,709572
C.Dignity,9421984,Dar Salwa,9534779,Sohar Light.,2026-07-11 00:00:00,2026-07-12 00:00:00,2000002,278228,Crude,Kuwait,393521913,Gulf of Oman,C.DIGNITY,DAR SALWA,Sohar Light.,Sohar Light,2000002
Xin An Yang,9473389,Bahrain Prosperity,9596947,Fujairah Light.,2026-07-11 00:00:00,2026-07-12 00:00:00,2000002,271550,Crude,Zakum,393521857,Gulf of Oman,XIN AN YANG,BAHRAIN PROSPERITY,Fujairah Light.,Fujairah Light,2000002
P.Aliki,9460136,Singapore Prosperity,9419967,Fujairah Light.,2026-07-11 00:00:00,2026-07-12 00:00:00,705924,93265,Crude,Das,393521900,Gulf of Oman,P.ALIKI,SINGAPORE PROSPERITY,Fujairah Light.,Fujairah Light,705924
Vera,9304655,Daniel,9569683,Gulf of Oman,2026-07-10 00:00:00,2026-07-11 00:00:00,2000002,276638,Crude,Iran,393521763,Gulf of Oman,VERA,DANIEL,Gulf of Oman,Gulf of Oman,2000002
Evros,1087536,Al Funtas,9653408,Sohar Light.,2026-07-08 00:00:00,2026-07-09 00:00:00,2000002,278228,Crude,Kuwait,392860660,Gulf of Oman,EVROS,AL FUNTAS,Sohar Light.,Sohar Light,2000002
