Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
MANIFA,9384198,VLCC,SAUDI ARABIA,Exited MEG,2026-07-02,Dark/Unknown Route,Laden,Crude/Co,2112584,bbl,Ras Tanura,Saudi Arabia,Zhoushan,China,319427,"2,008",REPUBLIC OF KOREA,319.427,VLCC,crude,tagged,2112584.0,False,False,False,True,False,clean fleet
QASBA,9853589,VLCC,SAUDI ARABIA,Exited MEG,2026-07-02,Dark/Unknown Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Quanzhou,China,299499,"2,019",REPUBLIC OF KOREA,299.499,VLCC,crude,tagged,1999996.0,False,False,False,True,False,clean fleet
KARAN,9384239,VLCC,SAUDI ARABIA,Exited MEG,2026-07-02,Dark/Unknown Route,Laden,Crude/Co,2131384,bbl,Ras Tanura,Saudi Arabia,Zhoushan,China,319410,"2,009",REPUBLIC OF KOREA,319.41,VLCC,crude,tagged,2131384.0,False,False,False,True,False,clean fleet
UQAB,9830824,VLCC,SAUDI ARABIA,Exited MEG,2026-07-03,Dark/Unknown Route,Laden,Crude/Co,1989838,bbl,Ras Tanura,Saudi Arabia,Ras Tanura,Saudi Arabia,298998,"2,019",REPUBLIC OF KOREA,298.998,VLCC,crude,tagged,1989838.0,False,False,False,True,False,clean fleet
NISALAH,9484730,VLCC,SAUDI ARABIA,Exited MEG,2026-07-03,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Ras Tanura,Saudi Arabia,,,319329,"2,010",REPUBLIC OF KOREA,319.329,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
MOMBASA B,9739501,VLCC,LIBERIA,Exited MEG,2026-07-03,Omani Route,Laden,Crude/Co,2002701,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299392,"2,016",REPUBLIC OF KOREA,299.392,VLCC,crude,tagged,2002701.0,False,False,False,False,False,clean fleet
JALADI,9384227,VLCC,SAUDI ARABIA,Exited MEG,2026-07-03,Dark/Unknown Route,Laden,Crude/Co,2131736,bbl,Ras Tanura,Saudi Arabia,Zhoushan,China,318000,"2,008",REPUBLIC OF KOREA,318.0,VLCC,crude,tagged,2131736.0,False,False,False,True,False,clean fleet
HORNET,9197844,VLCC,BENIN,Exited MEG,2026-07-03,Iranian Route,Laden,Crude/Co,1994253,bbl,Kharg Island,Iran,,,281050,"2,000",JAPAN,281.05,VLCC,crude,tagged,1994253.0,True,True,True,False,True,dark fleet
GEM NO.5,9793741,VLCC,PANAMA,Exited MEG,2026-07-04,Dark/Unknown Route,Laden,Crude/Co,2055007,bbl,Mina Al-Ahmadi,Kuwait,Mailiao,Taiwan,302650,"2,017",JAPAN,302.65,VLCC,crude,tagged,2055007.0,False,False,False,True,False,clean fleet
HALTI,9212890,VLCC,IRAN,Exited MEG,2026-07-04,Dark/Unknown Route,Laden,Crude/Co,2034200,bbl,Kharg Island,Iran,,,299261,"2,002",REPUBLIC OF KOREA,299.261,VLCC,crude,tagged,2034200.0,True,True,True,True,True,dark fleet
LONG WIND,9385037,VLCC,HONG KONG,Exited MEG,2026-07-04,IMO Route,Laden,Crude/Co,2069995,bbl,Ras Tanura,Saudi Arabia,Ulsan,South Korea,320141,"2,011",CHINA,320.141,ULCC,crude,tagged,2069995.0,False,False,False,False,False,clean fleet
NISSOS TIGANI,1044869,Suezmax/LR3,MARSHALL ISLANDS,Exited MEG,2026-07-04,Dark/Unknown Route,Laden,Crude/Co,979996,bbl,Al Basrah,Iraq,Ain Sukhna,Egypt,156790,"2,026",REPUBLIC OF KOREA,156.79,LR2,crude,tagged,979996.0,False,False,False,True,False,clean fleet
ARGENTINA B,9389021,VLCC,LIBERIA,Exited MEG,2026-07-05,Omani Route,Laden,Crude/Co,2099406,bbl,Das Island,United Arab Emirates,Al Basrah,Iraq,299999,"2,009",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2099406.0,False,False,False,False,False,clean fleet
AL JABRIYAH II,9329708,VLCC,KUWAIT,Exited MEG,2026-07-05,Dark/Unknown Route,Laden,Crude/Co,2119182,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,317570,"2,007",REPUBLIC OF KOREA,317.57,VLCC,crude,tagged,2119182.0,False,False,False,True,False,clean fleet
HAFEET,9928009,VLCC,LIBERIA,Exited MEG,2026-07-05,Omani Route,Laden,Crude/Co,1996461,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,299425,"2,023",REPUBLIC OF KOREA,299.425,VLCC,crude,tagged,1996461.0,False,False,False,False,False,clean fleet
GRAND LADY,9406166,VLCC,CYPRUS,Exited MEG,2026-07-05,Dark/Unknown Route,Laden,Crude/Co,1959999,bbl,Al Basrah,Iraq,Fujairah Light.,United Arab Emirates,299999,"2,011",JAPAN,299.999,VLCC,crude,tagged,1959999.0,False,False,False,True,False,clean fleet
AZUMASAN,9397157,VLCC,SINGAPORE,Exited MEG,2026-07-06,IMO Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Zhoushan Islands,China,302068,"2,010",JAPAN,302.068,VLCC,crude,tagged,1999996.0,False,False,False,False,False,clean fleet
AL FUNTAS,9653408,VLCC,KUWAIT,Exited MEG,2026-07-06,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,316648,"2,014",REPUBLIC OF KOREA,316.648,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
AL SALMI,9534793,VLCC,KUWAIT,Exited MEG,2026-07-06,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Gulf of Oman,,319660,"2,011",REPUBLIC OF KOREA,319.66,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
ATILA,9233753,VLCC,GUYANA,Exited MEG,2026-07-06,Iranian Route,Laden,Crude/Co,2069863,bbl,Kharg Island,Iran,,,309064,"2,002",REPUBLIC OF KOREA,309.064,VLCC,crude,tagged,2069863.0,True,True,True,False,True,dark fleet
YAKUMOSAN,9362877,VLCC,MARSHALL ISLANDS,Exited MEG,2026-07-06,IMO Route,Laden,Crude/Co,1979994,bbl,Ras Tanura,Saudi Arabia,Nagoya,Japan,302165,"2,008",JAPAN,302.165,VLCC,crude,tagged,1979994.0,False,False,False,False,False,clean fleet
MAYASAN,9839856,VLCC,JAPAN,Exited MEG,2026-07-06,IMO Route,Laden,Crude/Co,1689418,bbl,Ras Tanura,Saudi Arabia,,,312006,"2,018",CHINA,312.006,VLCC,crude,tagged,1689418.0,False,False,False,False,False,clean fleet
MIRACLE HOPE,9794018,VLCC,MARSHALL ISLANDS,Exited MEG,2026-07-06,IMO Route,Laden,Crude/Co,2130648,bbl,Ras Tanura,Saudi Arabia,Kawasaki,Japan,318747,"2,019",REPUBLIC OF KOREA,318.747,VLCC,crude,tagged,2130648.0,False,False,False,False,False,clean fleet
OMEGA TRADER,9567659,VLCC,PANAMA,Exited MEG,2026-07-06,Iranian Route,Laden,Crude/Co,1990649,bbl,Al Basrah,Iraq,Sikka,India,305206,"2,011",JAPAN,305.206,VLCC,crude,tagged,1990649.0,False,False,False,False,False,clean fleet
SOUFIA 1,9273052,Aframax/LR2,MOZAMBIQUE,Exited MEG,2026-07-06,Iranian Route,Laden,Crude/Co,709579,bbl,Kharg Island,Iran,Eastern Asia,,105850,"2,003",JAPAN,105.85,AFRA,crude,tagged,709579.0,False,True,True,False,True,dark fleet
DAISEN,9874222,VLCC,PANAMA,Exited MEG,2026-07-06,Iranian Route,Laden,Crude/Co,1899994,bbl,Das Island,United Arab Emirates,Oita,Japan,311681,"2,020",JAPAN,311.681,VLCC,crude,tagged,1899994.0,False,False,False,False,False,clean fleet
AMIL,9308778,MR,MOZAMBIQUE,Exited MEG,2026-07-07,Dark/Unknown Route,Laden,Crude/Co,332159,bbl,Kharg Island,Iran,,,47999,"2,004",JAPAN,47.999,LR1,crude,tagged,332159.0,True,True,True,True,True,dark fleet
CYPRUS PROSPERITY,9595216,VLCC,LIBERIA,Exited MEG,2026-07-07,Dark/Unknown Route,Laden,Crude/Co,2071505,bbl,Das Island,United Arab Emirates,Fujairah Light.,United Arab Emirates,299996,"2,012",CHINA,299.996,VLCC,crude,tagged,2071505.0,False,False,False,True,False,clean fleet
DAR SALWA,9534779,VLCC,KUWAIT,Exited MEG,2026-07-07,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,319761,"2,010",REPUBLIC OF KOREA,319.761,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
DAS,9854507,VLCC,LIBERIA,Exited MEG,2026-07-07,Omani Route,Laden,Crude/Co,1996430,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299995,"2,019",REPUBLIC OF KOREA,299.995,VLCC,crude,tagged,1996430.0,False,False,False,False,False,clean fleet
HELM,9357391,VLCC,IRAN,Exited MEG,2026-07-07,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Kharg Island,Iran,EOPL,,317356,"2,008",REPUBLIC OF KOREA,317.356,VLCC,crude,tagged,2000002.0,True,True,True,True,True,dark fleet
TOWADA,9321213,VLCC,JAPAN,Exited MEG,2026-07-07,Dark/Unknown Route,Laden,Crude/Co,2099998,bbl,Ras Tanura,Saudi Arabia,Nagoya,Japan,305801,"2,006",JAPAN,305.801,VLCC,crude,tagged,2099998.0,False,False,False,True,False,clean fleet
TONEGAWA,9802188,VLCC,JAPAN,Exited MEG,2026-07-07,IMO Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Caofeidian,China,312667,"2,018",JAPAN,312.667,VLCC,crude,tagged,1999996.0,False,False,False,False,False,clean fleet
TOGO PROSPERITY,9411032,VLCC,LIBERIA,Exited MEG,2026-07-07,Omani Route,Laden,Crude/Co,1900001,bbl,Dubai Light.,United Arab Emirates,Fujairah,United Arab Emirates,318325,"2,010",REPUBLIC OF KOREA,318.325,VLCC,crude,tagged,1900001.0,False,False,False,False,False,clean fleet
PERTAMINA PRIDE,9888493,VLCC,SINGAPORE,Exited MEG,2026-07-07,Dark/Unknown Route,Laden,Crude/Co,2014513,bbl,Ras Tanura,Saudi Arabia,Cilacap,Indonesia,301781,"2,021",JAPAN,301.781,VLCC,crude,tagged,2014513.0,False,False,False,True,False,clean fleet
TENJUN,9343390,VLCC,PANAMA,Exited MEG,2026-07-07,Iranian Route,Laden,Crude/Co,2011727,bbl,Al Shaheen,Qatar,Singapore,Singapore Republic,302107,"2,008",JAPAN,302.107,VLCC,crude,tagged,2011727.0,False,False,False,False,False,clean fleet
VADIN,9324100,VLCC,ANTIGUA AND BARBUDA,Exited MEG,2026-07-08,Dark/Unknown Route,Laden,Crude/Co,2051736,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,302478,"2,006",JAPAN,302.478,VLCC,crude,tagged,2051736.0,False,False,False,True,False,clean fleet
MERCURY HOPE,9395290,VLCC,PANAMA,Exited MEG,2026-07-08,IMO Route,Laden,Crude/Co,1799999,bbl,Das Island,United Arab Emirates,Zhanjiang,China,297221,"2,011",JAPAN,297.221,VLCC,crude,tagged,1799999.0,False,False,False,False,False,clean fleet
NISSOS HERACLEA,9419618,VLCC,LIBERIA,Exited MEG,2026-07-09,Dark/Unknown Route,Laden,Crude/Co,2011727,bbl,Al Shaheen,Qatar,Sohar Light.,Oman,313525,"2,009",REPUBLIC OF KOREA,313.525,VLCC,crude,tagged,2011727.0,False,False,False,True,False,clean fleet
BERG 1,9262168,VLCC,BENIN,Exited MEG,2026-07-09,Iranian Route,Laden,Crude/Co,2070700,bbl,Kharg Island,Iran,,,299984,"2,004",JAPAN,299.984,VLCC,crude,tagged,2070700.0,True,True,True,False,True,dark fleet
BAHRAIN PROSPERITY,9596947,VLCC,LIBERIA,Exited MEG,2026-07-10,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
BELGIUM B,9728708,VLCC,LIBERIA,Exited MEG,2026-07-10,Dark/Unknown Route,Laden,Crude/Co,2073008,bbl,Ras Tanura,Saudi Arabia,Pelepas Light.,Malaysia,298991,"2,016",REPUBLIC OF KOREA,298.991,VLCC,crude,tagged,2073008.0,False,False,False,True,False,clean fleet
WEDYAN,9524970,VLCC,SAUDI ARABIA,Exited MEG,2026-07-11,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Ras Tanura,Saudi Arabia,Sohar Light.,Oman,321234,"2,010",REPUBLIC OF KOREA,321.234,ULCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
SERIFOS,9410399,VLCC,LIBERIA,Exited MEG,2026-07-11,Dark/Unknown Route,Laden,Crude/Co,2077210,bbl,Halul Island,Qatar,Ningbo,China,309396,"2,009",JAPAN,309.396,VLCC,crude,tagged,2077210.0,False,False,False,True,False,clean fleet
SCALER,9254915,Aframax/LR2,MOZAMBIQUE,Exited MEG,2026-07-11,IMO Route,Laden,Crude/Co,713585,bbl,Kharg Island,Iran,Pengerang,Malaysia,106449,"2,004",JAPAN,106.449,AFRA,crude,tagged,713585.0,True,True,True,False,True,dark fleet
DUNE,9569712,VLCC,IRAN,Exited MEG,2026-07-11,Iranian Route,Laden,Crude/Co,2000002,bbl,Kharg Island,Iran,,,319247,"2,013",CHINA,319.247,VLCC,crude,tagged,2000002.0,True,True,True,False,True,dark fleet
DAN,9357729,VLCC,IRAN,Exited MEG,2026-07-11,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Kharg Island,Iran,EOPL,,319999,"2,009",REPUBLIC OF KOREA,319.999,VLCC,crude,tagged,2000002.0,True,True,True,True,True,dark fleet
HUMANITY,9180281,VLCC,IRAN,Exited MEG,2026-07-12,Dark/Unknown Route,Laden,Crude/Co,1941495,bbl,Kharg Island,Iran,EOPL,,299990,"2,000",JAPAN,299.99,VLCC,crude,tagged,1941495.0,True,True,True,True,True,dark fleet
KUWAIT PROSPERITY,9722936,VLCC,LIBERIA,Exited MEG,2026-07-12,Dark/Unknown Route,Laden,Crude/Co,1980001,bbl,Al Basrah,Iraq,Linggi Light.,Malaysia,299533,"2,016",REPUBLIC OF KOREA,299.533,VLCC,crude,tagged,1980001.0,False,False,False,True,False,clean fleet
HAWK,9362061,VLCC,IRAN,Exited MEG,2026-07-13,Dark/Unknown Route,Laden,Crude/Co,2077681,bbl,Mideast Gulf,,,,317367,"2,008",REPUBLIC OF KOREA,317.367,VLCC,crude,tagged,2077681.0,True,True,True,True,True,dark fleet
DELOS,9844851,VLCC,LIBERIA,Exited MEG,2026-07-13,Dark/Unknown Route,Laden,Crude/Co,2122031,bbl,Ras Tanura,Saudi Arabia,Lanqiao,China,318575,"2,019",REPUBLIC OF KOREA,318.575,VLCC,crude,tagged,2122031.0,False,False,False,True,False,clean fleet
COSTA RICA PROSPERITY,9534858,VLCC,LIBERIA,Exited MEG,2026-07-13,Dark/Unknown Route,Laden,Crude/Co,2064970,bbl,Al Basrah,Iraq,Turkey,Turkey,297136,"2,012",CHINA,297.136,VLCC,crude,tagged,2064970.0,False,False,False,True,False,clean fleet
COLOMBIA PROSPERITY,9732553,VLCC,LIBERIA,Exited MEG,2026-07-13,Dark/Unknown Route,Laden,Crude/Co,1996147,bbl,Ras Tanura,Saudi Arabia,Ningbo,China,299010,"2,016",REPUBLIC OF KOREA,299.01,VLCC,crude,tagged,1996147.0,False,False,False,True,False,clean fleet
MOMBASA B,9739501,VLCC,LIBERIA,Exited MEG,2026-07-14,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299392,"2,016",REPUBLIC OF KOREA,299.392,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
AL BAHYAH,9937799,VLCC,LIBERIA,Exited MEG,2026-07-14,Dark/Unknown Route,Laden,Crude/Co,1796810,bbl,Das Island,United Arab Emirates,Fujairah Light.,United Arab Emirates,299425,"2,023",REPUBLIC OF KOREA,299.425,VLCC,crude,tagged,1796810.0,False,False,False,True,False,clean fleet
SINOPA,9172038,Suezmax/LR3,IRAN,Exited MEG,2026-07-14,Dark/Unknown Route,Laden,Crude/Co,1015490,bbl,Mideast Gulf,,,,159681,"1,999",REPUBLIC OF KOREA,159.681,LR2,crude,tagged,1015490.0,True,True,True,True,True,dark fleet
TRONE,9326067,VLCC,COMOROS,Exited MEG,2026-07-14,Iranian Route,Laden,Crude/Co,2000002,bbl,Kharg Island,Iran,,,298000,"2,006",JAPAN,298.0,VLCC,crude,tagged,2000002.0,True,True,True,False,True,dark fleet
ECUADOR PROSPERITY,9315147,VLCC,LIBERIA,Exited MEG,2026-07-15,Dark/Unknown Route,Laden,Crude/Co,1960049,bbl,Al Basrah,Iraq,Yantai,China,317826,"2,006",REPUBLIC OF KOREA,317.826,VLCC,crude,tagged,1960049.0,False,False,False,True,False,clean fleet
MARAN ANTIOPE,9901348,VLCC,GREECE,Exited MEG,2026-07-15,Dark/Unknown Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Ningbo,China,318600,"2,021",REPUBLIC OF KOREA,318.6,VLCC,crude,tagged,1999996.0,False,False,False,True,False,clean fleet
EGYPT PROSPERITY,9534004,VLCC,LIBERIA,Exited MEG,2026-07-15,Dark/Unknown Route,Laden,Crude/Co,1960049,bbl,Al Basrah,Iraq,,,318663,"2,011",CHINA,318.663,VLCC,crude,tagged,1960049.0,False,False,False,True,False,clean fleet
AL DERWAZAH,9653410,VLCC,KUWAIT,Exited MEG,2026-07-17,Dark/Unknown Route,Laden,Crude/Co,2042484,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,316884,"2,014",REPUBLIC OF KOREA,316.884,VLCC,crude,tagged,2042484.0,False,False,False,True,False,clean fleet
NAVIG8 PERSEVERANCE,9853266,Aframax/LR2,SINGAPORE,Exited MEG,2026-07-17,Dark/Unknown Route,Laden,Crude/Co,603759,bbl,Zirku,United Arab Emirates,Gulf of Oman,,109998,"2,019",CHINA,109.998,AFRA,crude,tagged,603759.0,False,False,False,True,False,clean fleet
KIARA M,9285823,VLCC,SAN MARINO,Exited MEG,2026-07-18,Dark/Unknown Route,Laden,Crude/Co,1979994,bbl,Al Basrah,Iraq,Sohar Light.,Oman,319247,"2,004",REPUBLIC OF KOREA,319.247,VLCC,crude,tagged,1979994.0,False,False,False,True,False,clean fleet
ACHELOOS,1087524,VLCC,LIBERIA,Exited MEG,2026-07-19,Dark/Unknown Route,Laden,Crude/Co,1959999,bbl,Al Basrah,Iraq,,,306000,"2,026",CHINA,306.0,VLCC,crude,tagged,1959999.0,False,False,False,True,False,clean fleet
UMM AL AISH,9534781,VLCC,KUWAIT,Exited MEG,2026-07-19,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Fujairah Light.,United Arab Emirates,319634,"2,011",REPUBLIC OF KOREA,319.634,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
AL KOUT,9653434,VLCC,KUWAIT,Exited MEG,2026-07-19,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,317019,"2,014",REPUBLIC OF KOREA,317.019,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
FUJAIRAH ENERGY,9723071,VLCC,LIBERIA,Exited MEG,2026-07-20,Dark/Unknown Route,Laden,Crude/Co,2050000,bbl,Al Basrah,Iraq,Fujairah Light.,United Arab Emirates,299999,"2,015",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2050000.0,False,False,False,True,False,clean fleet
NISSOS KEA,9920758,VLCC,MARSHALL ISLANDS,Exited MEG,2026-07-20,Dark/Unknown Route,Laden,Crude/Co,2048006,bbl,Halul Island,Qatar,Fujairah Light.,United Arab Emirates,300323,"2,022",REPUBLIC OF KOREA,300.323,VLCC,crude,tagged,2048006.0,False,False,False,True,False,clean fleet
ROTTERDAM ENERGY,9508859,VLCC,LIBERIA,Exited MEG,2026-07-21,Dark/Unknown Route,Laden,Crude/Co,1986831,bbl,Zirku,United Arab Emirates,Fujairah,United Arab Emirates,296659,"2,010",CHINA,296.659,VLCC,crude,tagged,1986831.0,False,False,False,True,False,clean fleet
NEW GIANT,9516947,VLCC,LIBERIA,Exited MEG,2026-07-23,Dark/Unknown Route,Laden,Crude/Co,1960049,bbl,Al Basrah,Iraq,Lanqiao,China,319611,"2,016",CHINA,319.611,VLCC,crude,tagged,1960049.0,False,False,False,True,False,clean fleet
HAFEET,9928009,VLCC,LIBERIA,Exited MEG,2026-07-23,Dark/Unknown Route,Laden,Crude/Co,1996461,bbl,Mideast Gulf,,Fujairah Light.,United Arab Emirates,299425,"2,023",REPUBLIC OF KOREA,299.425,VLCC,crude,tagged,1996461.0,False,False,False,True,False,clean fleet
ROMANIA PROSPERITY,9315161,VLCC,LIBERIA,Exited MEG,2026-07-24,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Ruwais,United Arab Emirates,Fujairah Light.,United Arab Emirates,317794,"2,007",REPUBLIC OF KOREA,317.794,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
NISSOS HERACLEA,9419618,VLCC,LIBERIA,Exited MEG,2026-07-24,Dark/Unknown Route,Laden,Crude/Co,1959999,bbl,Al Basrah,Iraq,Sohar Light.,Oman,313525,"2,009",REPUBLIC OF KOREA,313.525,VLCC,crude,tagged,1959999.0,False,False,False,True,False,clean fleet
ANGOLA B,9623685,VLCC,LIBERIA,Exited MEG,2026-07-25,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
CONGO PROSPERITY,9792266,VLCC,LIBERIA,Exited MEG,2026-07-25,Dark/Unknown Route,Laden,Crude/Co,2008676,bbl,Al Basrah,Iraq,Lianyungang,China,300853,"2,017",CHINA,300.853,VLCC,crude,tagged,2008676.0,False,False,False,True,False,clean fleet
DAR SALWA,9534779,VLCC,KUWAIT,Exited MEG,2026-07-28,Dark/Unknown Route,Laden,Crude/Co,2083996,bbl,Mina Al-Ahmadi,Kuwait,Fujairah Light.,United Arab Emirates,319761,"2,010",REPUBLIC OF KOREA,319.761,VLCC,crude,tagged,2083996.0,False,False,False,True,False,clean fleet
DAS,9854507,VLCC,LIBERIA,Exited MEG,2026-07-28,Dark/Unknown Route,Laden,Crude/Co,1996430,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,299995,"2,019",REPUBLIC OF KOREA,299.995,VLCC,crude,tagged,1996430.0,False,False,False,True,False,clean fleet
TORKEL,9340635,VLCC,HONG KONG,Exited MEG,2026-07-29,Omani Route,Laden,Crude/Co,1990844,bbl,Ras Laffan,Qatar,Gulf of Oman,,297259,"2,009",CHINA,297.259,VLCC,crude,tagged,1990844.0,False,False,False,False,False,clean fleet
FRANCE C,9322281,VLCC,LIBERIA,Exited MEG,2026-07-29,Dark/Unknown Route,Laden,Crude/Co,1999996,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,306506,"2,007",REPUBLIC OF KOREA,306.506,VLCC,crude,tagged,1999996.0,False,False,False,True,False,clean fleet
IMOLA,1014876,Suezmax/LR3,LIBERIA,Exited MEG,2026-07-30,Dark/Unknown Route,Laden,Crude/Co,1054116,bbl,Al Basrah,Iraq,Sikka,India,156906,"2,025",REPUBLIC OF KOREA,156.906,LR2,crude,tagged,1054116.0,False,False,False,True,False,clean fleet
KIKU,9329796,VLCC,PANAMA,Exited MEG,2026-07-31,Dark/Unknown Route,Laden,Crude/Co,2011727,bbl,Halul Island,Qatar,Fujairah Light.,United Arab Emirates,300866,"2,006",JAPAN,300.866,VLCC,crude,tagged,2011727.0,False,False,False,True,False,clean fleet
NOBLE,9389253,VLCC,HONG KONG,Exited MEG,2026-07-31,Iranian Route,Laden,Crude/Co,1960049,bbl,Al Basrah,Iraq,,,318440,"2,009",REPUBLIC OF KOREA,318.44,VLCC,crude,tagged,1960049.0,False,False,False,False,False,clean fleet
LUCIA A,9228655,Suezmax/LR3,SAN MARINO,Exited MEG,2026-07-31,Dark/Unknown Route,Laden,Crude/Co,1036259,bbl,Al Basrah,Iraq,Sohar Light.,Oman,159997,"2,003",REPUBLIC OF KOREA,159.997,LR2,crude,tagged,1036259.0,False,False,False,True,False,clean fleet
ROTTERDAM ENERGY,9508859,VLCC,LIBERIA,Exited MEG,2026-07-31,Dark/Unknown Route,Laden,Crude/Co,1986831,bbl,Das Island,United Arab Emirates,Sohar Light.,Oman,296659,"2,010",CHINA,296.659,VLCC,crude,tagged,1986831.0,False,False,False,True,False,clean fleet
SPAIN B,9722924,VLCC,LIBERIA,Exited MEG,2026-07-31,Dark/Unknown Route,Laden,Crude/Co,2055743,bbl,Ras Tanura,Saudi Arabia,Zhoushan,China,299446,"2,016",REPUBLIC OF KOREA,299.446,VLCC,crude,tagged,2055743.0,False,False,False,True,False,clean fleet
TOUR 2,9364112,Suezmax/LR3,IRAN,Exited MEG,2026-08-01,Iranian Route,Laden,Crude/Co,751324,bbl,Mideast Gulf,,,,158817,"2,007",REPUBLIC OF KOREA,158.817,LR2,crude,tagged,751324.0,True,True,True,False,True,dark fleet
AQUA,9248473,VLCC,MALAWI,Exited MEG,2026-08-01,Dark/Unknown Route,Laden,Crude/Co,2011714,bbl,Kharg Island,Iran,Port Qasim,Pakistan,299152,"2,002",JAPAN,299.152,VLCC,crude,tagged,2011714.0,True,True,True,True,True,dark fleet
OTTOMAN EQUITY,9404950,Suezmax/LR3,TURKIYE,Exited MEG,2026-08-02,Dark/Unknown Route,Laden,Crude/Co,1032604,bbl,Al Basrah,Iraq,Sikka,India,149999,"2,008",REPUBLIC OF KOREA,149.999,LR2,crude,tagged,1032604.0,False,False,False,True,False,clean fleet
BAHRAIN PROSPERITY,9596947,VLCC,LIBERIA,Exited MEG,2026-08-02,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Das Island,United Arab Emirates,Sohar Light.,Oman,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
AL KOUT,9653434,VLCC,KUWAIT,Exited MEG,2026-08-03,Dark/Unknown Route,Laden,Crude/Co,2016582,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,317019,"2,014",REPUBLIC OF KOREA,317.019,VLCC,crude,tagged,2016582.0,False,False,False,True,False,clean fleet
ARGENTINA B,9389021,VLCC,LIBERIA,Exited MEG,2026-08-03,Dark/Unknown Route,Laden,Crude/Co,1959999,bbl,Al Basrah,Iraq,,,299999,"2,009",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,1959999.0,False,False,False,True,False,clean fleet
CAMEROON PROSPERITY,9315159,VLCC,LIBERIA,Exited MEG,2026-08-03,Dark/Unknown Route,Laden,Crude/Co,1990002,bbl,Das Island,United Arab Emirates,Fujairah Light.,United Arab Emirates,317713,"2,007",REPUBLIC OF KOREA,317.713,VLCC,crude,tagged,1990002.0,False,False,False,True,False,clean fleet
